,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,GFE_0.mean,GFE_0.median,GFE_0.sd,GFE_7.mean,GFE_7.median,GFE_7.sd,GFEperC_0.mean,GFEperC_0.median,GFEperC_0.sd,GFEperC_7.mean,GFEperC_7.median,GFEperC_7.sd,lambdaO2_0.mean,lambdaO2_0.median,lambdaO2_0.sd,lambdaO2_7.mean,lambdaO2_7.median,lambdaO2_7.sd
HJA_82_2016,0.0720224356650902,0,0.1567217457505,0.219376505445152,0.181818181818182,0.21093482618072,6.98053892215569,7,4.7418365894641,-0.76122754491018,-2,4.37672012941834,371.924660274258,364.777587058752,94.510819248252,0.287914576041416,0.270052564740183,0.116570529859867,-0.461574430937116,-0.4,0.719093942163716,1.37782117090652,1.33333333333333,0.447637240058699,0.459847147354031,0.454545454545455,0.177782845206077,0.0161253390492411,0,0.0494540675832578,0.0137995125665071,0,0.0266900604130709,Inf,0,NA,1283.76017964072,1263,507.551434460478,-2544.78097318782,-2531.33049216702,742.204984996049,73.4548712817078,71.7,20.4941773516659,-145.557519333363,-144.050754118201,9.90267704123697,0.0591664169405128,0.0530289706843438,0.0246709088195588,0.0520692764639634,0.0470494580545585,0.0211851982157139
HJA_83_2016,0.0944617179749078,0,0.173785049294667,0.206787763613866,0.142857142857143,0.217659838891529,7.03445065176909,6,4.71020706618297,-0.0507448789571695,-1,5.07408866536393,379.406528574603,377.787657438149,94.3496688527897,0.281553362082673,0.270136179128372,0.106373185914224,-0.538580453962676,-0.545454545454546,0.61711765631562,1.41979520820461,1.45454545454545,0.42986489757935,0.414257481456959,0.4,0.171979439211759,0.0371133398625989,0,0.0716655845569173,0.0156385247657654,0,0.0259930663593778,Inf,2,NA,1384.49469273743,1370.4,529.876250986778,-2655.1215978587,-2623.97278726552,803.988499173896,75.6495429379363,75.8454545454546,17.5878532049952,-145.795447375215,-145.530019733476,9.34508790952004,0.0562382956404775,0.0499850043026974,0.0242061783168521,0.0500588936328191,0.0443662933936504,0.0211456467602013
HJA_84_2016,0.132566507286559,0,0.204684216298305,0.253885292036593,0.217391304347826,0.229613682162985,8.24229765013055,7,5.54348129749566,1.30339425587467,0,6.10850717821973,391.965619430807,390.775949928116,100.749077947174,0.301743493474859,0.287806352612961,0.118341252957315,-0.492321599440747,-0.482758620689655,0.594905111758627,1.33149400078102,1.33333333333333,0.432207439544056,0.392589523236411,0.375,0.177748145183987,0.032036436820385,0,0.0573858046227905,0.014177337889993,0,0.0237732136561853,Inf,2,NA,1431.87963446475,1434,555.786876954137,-2791.58585800751,-2743.56896210135,875.136094494226,74.3311655840613,74.0586206896552,16.9547956851209,-145.535841449473,-145.196138453723,8.47921485515763,0.054566014506997,0.0480550296314234,0.0233615664112788,0.0483140839715445,0.0424348180536089,0.0201742561641284
HJA_CC-1-15m_2016,0.133995693993841,0,0.206858369779311,0.269780488579188,0.25,0.235486498340827,8.44468664850136,8,5.22843161065715,1.19291553133515,0,5.53346653147115,385.87287297048,378.752990734928,101.248301015968,0.309143378294142,0.302555266719708,0.118643210702641,-0.355401992686008,-0.333333333333333,0.587100552324767,1.2841892614244,1.25,0.435674436209279,0.420418178418848,0.416666666666667,0.173233038575488,0.0406796794202745,0,0.0708156765251924,0.0124975443681317,0,0.0227742670520109,Inf,2,NA,1304.4148773842,1266.3,506.461787808593,-2646.70451887855,-2556.26127539091,834.316165119632,70.4289567915512,69.8,16.7323657412559,-143.480612343782,-143.350534757775,8.59800249006181,0.0594911282426999,0.0543605829175725,0.0246253845876246,0.0526288058643136,0.0479662829783808,0.0213590407597843
HJA_CC-2-55m_2016,0.174452236667889,0,0.225137156724603,0.306659101512262,0.291666666666667,0.249044217960071,9.51868703282418,9,5.6250466114414,2.3019174520637,1,5.79163893019368,409.089819278783,403.741542199184,108.712350262404,0.33527009398286,0.328563003071565,0.126143400428622,-0.321370125870784,-0.3,0.587502364391233,1.22588981359977,1.19230769230769,0.442368976155842,0.394279325435276,0.380952380952381,0.16812273522511,0.0435126169791828,0,0.0646193071777122,0.0114640653741987,0,0.0202369424238319,Inf,3,NA,1385.84039649009,1333.2,557.430878705776,-2835.97069250254,-2744.10739565358,910.989356716508,69.4590485873174,68.85,16.7438173851501,-143.181594325741,-143.042934141783,8.73163486998683,0.0566735875523656,0.0507081648826262,0.0249227326313884,0.0500507739864675,0.0450363129014557,0.0217504110399966
HJA_CC-3-100m_2016,0.126539170044085,0,0.197547497392188,0.234303448474232,0.185185185185185,0.23025046222734,8.20479947403024,7,5.40291765746167,1.33859303090072,0,5.79120564881586,405.914809768024,404.686412701445,107.999501246526,0.306754992002211,0.29116942831763,0.119975077848966,-0.487328737991313,-0.48,0.572091114763371,1.3556630124784,1.4,0.41801330288385,0.378227274378466,0.363636363636364,0.172142833602043,0.0409305230807088,0,0.0645443966048066,0.0103652877993887,0,0.0201608118714553,Inf,Inf,NA,1498.16893491124,1437.3,623.693055318347,-2899.02602841058,-2817.14200404163,975.386166995281,74.1888690327524,73.98,16.3045967707561,-145.06128593556,-145.188637057484,8.51608164671467,0.0540703388037858,0.0480550296314234,0.0252593656039684,0.0479988045524121,0.0422722102775766,0.0219975149885006
HJA_CC-4-250m_2016,0.228419236225096,0.176470588235294,0.239437171359226,0.352877322943145,0.365853658536585,0.249283038311638,11.1854636591479,10,6.51067245301351,4.91979949874687,5,6.0129902807379,428.01318785792,428.653304460799,110.163077103032,0.36676201676676,0.373860705711138,0.122451588393274,-0.260318393517138,-0.222222222222222,0.628263011376738,1.14483956737176,1.09090909090909,0.422689293916455,0.317897047009333,0.3,0.157704904991544,0.0598751143174644,0,0.0722142228844519,0.00704211521754226,0,0.0184648817184812,Inf,Inf,NA,1403.65533834586,1353.9,539.938758178252,-2970.77982082765,-2960.92276907447,888.564604848034,67.7190742152384,66.6333333333333,17.905495824237,-142.705179982444,-143.90853270447,10.6800617247799,0.0538971115453119,0.048588618064636,0.0228432243421763,0.0473361830871993,0.0431318293457694,0.0196254855813555
HJA_KC-1-275m_2016,0.0877295698413585,0,0.18574405404748,0.187459999795168,0.111111111111111,0.223134983772765,6.5868036776636,5,4.88539202112513,0.0243374797187669,-1,5.12579340355383,363.656715845261,363.78138620699,90.2047368626012,0.263240888107913,0.248160990606948,0.104560541217796,-0.552816334456383,-0.526315789473684,0.624035467688283,1.46054703825642,1.5,0.432682796753983,0.399027201499873,0.388888888888889,0.162924474174481,0.0511301458385073,0,0.083379588692637,0.0137169618174243,0,0.0266297090535037,Inf,Inf,NA,1333.1391563007,1303.5,508.490785216347,-2540.61176426938,-2487.53821525957,788.162406456656,76.0552655320069,75.3,17.7850108291161,-145.351172799191,-145.190285915112,9.8534137417145,0.0584708278364482,0.0529346346828105,0.0252773381261439,0.052241804049681,0.0477447374703893,0.0221805061481049
HJA_KC-2-360m_2016,0.087821371845695,0,0.184131291270266,0.196156929389537,0.111111111111111,0.227703990237144,6.6414899120538,6,4.74475587759995,-0.12829798241076,-1,4.89190515819675,364.633152639091,360.762522780035,89.685993819204,0.267519890655396,0.252762522180603,0.103565162831525,-0.505744731234479,-0.5,0.652353293254288,1.44335570049274,1.5,0.449655751708777,0.41388758382899,0.4,0.169894265327255,0.0504268415265509,0,0.082343957669353,0.0132731016506427,0,0.0263998421674448,Inf,Inf,NA,1301.51469218831,1249.8,526.480916664778,-2511.97940974575,-2460.58433552224,782.356309366236,74.7137248401826,74.55,18.5920688577472,-144.805655002086,-144.441522789246,9.92907826036951,0.0595481175735278,0.0550020893115051,0.0252396723355682,0.0530773881537739,0.0490286350308186,0.0220196184032203
HJA_KC-3-400m_2016,0.0757836376070301,0,0.177459159415683,0.147424758802104,0,0.20989483970835,5.76083086053412,4,4.70915460316199,-0.804154302670623,-2,5.59008341733432,366.399730211913,364.765897628865,89.0584853782519,0.25368225099513,0.247146486677423,0.091182415612129,-0.706098230457815,-0.733333333333333,0.593376265065982,1.55546830810412,1.64285714285714,0.417041211428656,0.400303063169265,0.4,0.167539999117588,0.0413725457627175,0,0.0792679842662295,0.0194896957786215,0,0.030637163797499,Inf,0,NA,1423.4718694362,1370.4,545.373193526875,-2606.34153466277,-2540.49202223269,834.435960411105,80.4237995680477,81.2,16.9112235543805,-147.902525540426,-148.279865510899,9.79409030481148,0.0550316439609072,0.049237392664763,0.0244837336768331,0.0492651383589028,0.0440340382289253,0.0214852934643356
