Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm),MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
251.078606861,10,12,4,4,0,0,C10H12O4N4,0,N4 O4,251.07857843,0.113232523,C10H12O4N4,0,0.25,7,3,-1,37.5,250.798250245547,0.201749754453061,0.8,0.4,1.2,0.4,0,Inf,Lignin,Lignin,Protein,37.5,-114.324604749845,0.128690678753946,0.120686639695653,375,-1143.24604749845
227.038517158,10,12,4,0,1,0,C10H12O4S1,0,S1 O4,227.038353587,0.720454164,C10H12O4S,0,0.285714285714286,5,1,0,66,226.785003921473,0.214996078526525,-0.2,0.4,1.2,0,0,NA,Lignin,Lignin,Other,66,-145.755369782679,0.114076154533263,0.0936229287126429,660,-1457.55369782679
211.061229355,10,12,5,0,0,0,C10H12O5,0,O5,211.061197032,0.153141463,C10H12O5,0,0.333333333333333,5,0,0,66,210.825556500769,0.174443499231245,-0.2,0.5,1.2,0,0,NA,Lignin,Lignin,Other,66,-141.759985447157,0.114076154533263,0.0959325659567616,660,-1417.59985447157
239.06739871,10,12,5,2,0,0,C10H12O5N2,0,N2 O5,239.067345041,0.224493713,C10H12O5N2,0,0.272727272727273,6,1,-1,48.9,238.800453916871,0.199546083128524,0.4,0.5,1.2,0.2,0,Inf,Lignin,Lignin,Protein,48.9,-126.896910762979,0.11833913086197,0.108182684981251,489,-1268.96910762979
267.073550066,10,12,5,4,0,0,C10H12O5N4,0,N4 O5,267.07349305,0.213484368,C10H12O5N4,0,0.142857142857143,7,2,-2,31.8,266.775333354072,0.224666645927982,1,0.5,1.2,0.4,0,Inf,Lignin,Lignin,Protein,31.8,-112.033836078801,0.13450353892821,0.125112112068663,318,-1120.33836078801
243.0333447,10,12,5,0,1,0,C10H12O5S1,0,S1 O5,243.033268207,0.314745352,C10H12O5S,0,0.230769230769231,5,0,-1,60.3,242.761971496149,0.238028503851069,0,0.5,1.2,0,0,NA,Lignin,Lignin,Other,60.3,-143.464601111634,0.115696286540446,0.0963119604899059,603,-1434.64601111634
227.05610056,10,12,6,0,0,0,C10H12O6,0,O6,227.056111652,-0.048851394,C10H12O6,0,0.285714285714286,5,-1,-1,60.3,226.80256768969,0.197432310310262,0,0.6,1.2,0,0,NA,Lignin,Lignin,Other,60.3,-139.469216776112,0.115696286540446,0.0980212625492825,603,-1394.69216776112
272.032802701,10,12,6,1,0,1,C10H12O6N1P1,0,N1 P1 O6,272.032947655,-0.532854354,C10H12O6NP,0,0.2,6,0,-2,66,271.729048443276,0.270951556724128,-0.2,0.6,1.2,0.1,0.1,1,Lignin,Lignin,Phytochemical,66,-145.755369782679,0.114076154533263,0.0936229287126429,660,-1457.55369782679
255.062273916,10,12,6,2,0,0,C10H12O6N2,0,N2 O6,255.062259661,0.055887873,C10H12O6N2,0,0.2,6,0,-2,43.2,254.777469102325,0.222530897675114,0.6,0.6,1.2,0.2,0,Inf,Lignin,Lignin,Protein,43.2,-124.606142091934,0.123315729873717,0.111755883346237,432,-1246.06142091934
287.034503033,10,12,6,2,1,0,C10H12O6N2S1,0,N2 S1 O6,287.034330835,0.599921237,C10H12O6N2S,0,0,6,0,-3,37.5,286.713997742666,0.286002257333735,0.8,0.6,1.2,0.2,0,Inf,Lignin,Lignin,Protein,37.5,-126.310757756412,0.128690678753946,0.112967014440929,375,-1263.10757756412
283.068445271,10,12,6,4,0,0,C10H12O6N4,0,N4 O6,283.06840767,0.132836379,C10H12O6N4,0,0,7,1,-3,26.1,282.752368516194,0.247631483805662,1.2,0.6,1.2,0.4,0,Inf,Lignin,Lignin,Protein,26.1,-109.743067407756,0.140794973410313,0.129741699230929,261,-1097.43067407756
259.028433993,10,12,6,0,1,0,C10H12O6S1,0,S1 O6,259.028182826,0.969651785,C10H12O6S,0,0.166666666666667,5,-1,-2,54.6,258.739200529551,0.260799470449115,0.2,0.6,1.2,0,0,NA,Lignin,Lignin,Other,54.6,-141.17383244059,0.117093485793403,0.0991106144174278,546,-1411.7383244059
243.051043765,10,12,7,0,0,0,C10H12O7,0,O7,243.051026271,0.071975616,C10H12O7,0,0.230769230769231,5,-2,-2,54.6,242.779650798215,0.220349201785154,0.2,0.7,1.2,0,0,NA,Tannin,Tannin,Other,54.6,-137.178448105068,0.117093485793403,0.100964862168865,546,-1371.78448105068
271.057406631,10,12,7,2,0,0,C10H12O7N2,0,N2 O7,271.05717428,0.857201224,C10H12O7N2,0,0.111111111111111,6,-1,-3,37.5,270.754741509241,0.245258490758545,0.8,0.7,1.2,0.2,0,Inf,Tannin,Tannin,Other,37.5,-122.31537342089,0.128690678753946,0.115487116423076,375,-1223.1537342089
303.029220557,10,12,7,2,1,0,C10H12O7N2S1,0,N2 S1 O7,303.029245455,-0.082163301,C10H12O7N2S,0,0,6,-1,-4,31.8,302.690855422189,0.309144577811253,1,0.7,1.2,0.2,0,Inf,Tannin,Tannin,Other,31.8,-124.019989085367,0.13450353892821,0.116577627019923,318,-1240.19989085367
306.995217967,10,12,7,0,2,0,C10H12O7S2,0,S2 O7,306.99516862,0.160742772,C10H12O7S2,0,0,5,-2,-4,43.2,306.65242436405,0.347575635949852,0.6,0.7,1.2,0,0,NA,Tannin,Tannin,Other,43.2,-140.587679434023,0.123315729873717,0.102845610635136,432,-1405.87679434023
259.045939971,10,12,8,0,0,0,C10H12O8,0,O8,259.045940891,-0.003553372,C10H12O8,0,0.166666666666667,5,-3,-3,48.9,258.756686960219,0.24331303978056,0.4,0.8,1.2,0,0,NA,Tannin,Tannin,Other,48.9,-134.887679434023,0.11833913086197,0.104031912902608,489,-1348.87679434023
335.994605594,10,12,8,1,1,1,C10H12O8N1P1S1,0,N1 S1 P1 O8,335.994848068,-0.721660724,C10H12O8NSP,0,0,6,-2,-5,48.9,335.619431015757,0.380568984242643,0.4,0.8,1.2,0.1,0.1,1,Tannin,Tannin,Phytochemical,48.9,-142.878448105068,0.11833913086197,0.100031611562308,489,-1428.78448105068
291.018087772,10,12,8,0,1,0,C10H12O8S1,0,S1 O8,291.018012065,0.260144949,C10H12O8S,0,0,5,-3,-4,43.2,290.693134375359,0.306865624641034,0.6,0.8,1.2,0,0,NA,Tannin,Tannin,Other,43.2,-136.592295098501,0.123315729873717,0.105009305453483,432,-1365.92295098501
275.040914926,10,12,9,0,0,0,C10H12O9,0,O9,275.040855511,0.216024982,C10H12O9,0,0.0909090909090909,5,-4,-4,43.2,274.733801783292,0.266198216707721,0.6,0.9,1.2,0,0,NA,Tannin,Tannin,Other,43.2,-132.596910762979,0.123315729873717,0.10721476065314,432,-1325.96910762979
194.082273232,10,13,3,1,0,0,C10H13O3N1,0,N1 O3,194.08226683,0.032987459,C10H13O3N,0.166666666666667,0.333333333333333,5,2,1,71.7,193.865559231859,0.134440768141332,-0.4,0.3,1.3,0.1,0,Inf,Lignin,Lignin,Other,71.7,-140.055369782679,0.0971772361292719,0.0894550864094207,717,-1400.55369782679
