Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
275.041075406,10,12,9,0,0,0,0,O9,275.040855511,0.799502252,C10H12O9,0,0.090909091,5,-4,-4,43.2,274.733962084,0.266037916,0.6,0.9,1.2,0,0,-9999,Tannin,Tannin,Other,43.2,-132.596910763,0.12331573,0.107214761,432,-1325.96910763
194.082334847,10,13,3,1,0,0,0,N1 O3,194.08226683,0.350455256,C10H13O3N,0.166666667,0.333333333,5,2,1,71.7,193.865620778,0.134379222,-0.4,0.3,1.3,0.1,0,-9999,Lignin,Lignin,Other,71.7,-140.055369783,0.097177236,0.089455086,717,-1400.553697827
210.077214746,10,13,4,1,0,0,0,N1 O4,210.077181449,0.158497375,C10H13O4N,0,0.285714286,5,1,0,66,209.842640651,0.157359349,-0.2,0.4,1.3,0.1,0,-9999,Lignin,Lignin,Other,66,-137.764601112,0.114076155,0.10117382,660,-1377.646011116
255.054121793,10,13,4,2,0,1,0,N2 P1 O4,255.054017452,0.409093072,C10H13O4N2P,0,0.2,6,2,-1,71.7,254.769326082,0.230673918,-0.4,0.4,1.3,0.2,0.1,2,Lignin,Lignin,Protein,71.7,-144.050754118,0.097177236,0.08796575,717,-1440.507541182
227.047776025,10,13,4,0,0,1,0,P1 O4,227.047869443,-0.411446901,C10H13O4P,0,0.285714286,5,1,0,88.8,226.79425245,0.20574755,-1,0.4,1.3,0,0.1,0,Lignin,Lignin,Phytochemical,88.8,-158.913828802,0.075936985,0.066790335,888,-1589.138288024
226.07224372,10,13,5,1,0,0,0,N1 O5,226.072096069,0.653115822,C10H13O5N,0,0.230769231,5,0,-1,60.3,225.819809433,0.180190567,0,0.5,1.3,0.1,0,-9999,Lignin,Lignin,Other,60.3,-135.473832441,0.115696287,0.100063795,603,-1354.738324406
242.06709546,10,13,6,1,0,0,0,N1 O6,242.067010689,0.350197336,C10H13O6N,0,0.166666667,5,-1,-2,54.6,241.796801178,0.203198822,0.2,0.6,1.3,0.1,0,-9999,Lignin,Lignin,Other,54.6,-133.18306377,0.117093486,0.102852204,546,-1331.830637695
258.062139202,10,13,7,1,0,0,0,N1 O7,258.061925308,0.828847669,C10H13O7N,0,0.090909091,5,-2,-3,48.9,257.773984712,0.226015288,0.4,0.7,1.3,0.1,0,-9999,Tannin,Tannin,Other,48.9,-130.892295099,0.118339131,0.106087964,489,-1308.922950985
274.056933943,10,13,8,1,0,0,0,N1 O8,274.056839928,0.343051604,C10H13O8N,0,0,5,-3,-4,43.2,273.750919523,0.249080477,0.6,0.8,1.3,0.1,0,-9999,Tannin,Tannin,Other,43.2,-128.601526427,0.12331573,0.109463197,432,-1286.015264275
318.057966517,10,13,9,3,0,0,0,N3 O9,318.057902556,0.201097461,C10H13O9N3,0,0,6,-3,-6,20.4,317.70282015,0.29717985,1.4,0.9,1.3,0.3,0,-9999,Tannin,Tannin,Protein,20.4,-111.447683072,0.147603705,0.130920282,204,-1114.476830722
