Calibrated_Mass,HJA_155_p1,HJA_156_p1,HJA_160_p1,HJA_161_p1,HJA_162_p1,HJA_163_p1,HJA_164_p1,HJA_165_p1,HJA_169_p1,HJA_170_p1,HJA_177_p1,HJA_178_p1,HJA_190_p1,HJA_192_p1,HJA_260_p1,HJA_360_p1,HJA_45_p1,HJA_47_p1,HJA_49_p1,HJA_50_p1,HJA_53_p1,HJA_54_p1,HJA_55_p1,HJA_56_p1,HJA_57_p1,HJA_58_p1,HJA_60_p1,HJA_64_p1,HJA_65_p1,HJA_66_p1,HJA_68_p1,HJA_71_p1,HJA_72_p1,HJA_73_p1,HJA_74_p1,HJA_76_p1,HJA_82_p1,HJA_83_p1,HJA_84_p1,HJA_CC-1-15m_p1,HJA_CC-2-55m_p1,HJA_CC-3-100m_p1,HJA_CC-4-250m_p1,HJA_KC-1-275m_p1,HJA_KC-2-360m_p1,HJA_KC-3-400m_p1,HJA_KerryCreek2_p1,HJA_WS1-2_p1,HJA_WS1-3_p1,HJA_WS1-5_p1,HJA_WS1-6_p1,HJA_WS1-7_p1,HJA_WS1-8_p1,HJA_WS1_250m_p1,HJA_WS3-1_30m_p1,HJA_WS3-2_p1,HJA_WS3-3_p1,HJA_WS3-4_p1,HJA_WS3-5_p1,HJA_WS3-6_p1
243.051100448,1810421.9,0,2706183.5,0,2824597.8,0,3520688.3,0,2227530.3,2530888.8,2501928.3,1826514.8,1346167.9,2092682.9,2057351.4,3077602.5,1644286.8,1420316.8,2576364.8,1355096.8,2186555.8,1685852.3,0,0,2116858.8,3101753.5,2018918.9,3414912.5,1695307.5,0,1534627.6,0,1761580.9,2741378.8,1302203.8,2980693.5,1599919,2166317,1520304.1,2205145.3,3706697.3,2677465.3,3399900.3,2029825.3,2067653,0,1728223.4,1688830.3,0,1728292.4,1722785.4,2053203.4,2080595.5,0,0,1927316.6,0,3391949.8,1211085.3,3417674.8
271.057311608,0,0,0,0,0,0,2861406.3,0,0,2042673,1289688.1,1306544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535043.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2986372.8,0,0,0,0,0,0,0,0,0,0,0,0,3406600.3,1339721.3,2620272.5,3981658,0,1689415.6
259.046071927,1186372.1,1645401.8,3269436.5,1360682.9,2488908,0,2411986,0,2659316.3,1564837.4,2039507.8,1503875.8,0,1477363.5,2452894.8,1776919.6,1600677.9,1845249.8,2609893.3,0,1918613.8,1421825.4,0,0,1878149.3,3852048,1612917.8,3214725.3,1511183,0,1732846.4,0,2117147.3,3531770.8,1191299.9,0,1200163.4,1771941.5,1863998.1,3355507.5,4075965,2816830.8,4423006,1731063.5,1912368.9,0,1525521.6,1527098.6,1274675.5,1676978.1,1427592.4,1418006.1,1755967.3,1291554.5,1734575,1568020.6,0,5149617.5,0,2444760.5
275.041075406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266512.9,0,0,0,0,0,1421296.4,1538811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194.082334847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230884.3,0,1168332.5,0,0,0,0,1203781.9,1368183.1,0,0,0,0,0,1169018,1662892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278584.8,0,0,0,0,0,0
210.077214746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203622.8,0,0,1243228.3,0,0
255.054121793,0,0,0,0,0,0,5498632.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6797383,1721357.3,0,0,0,0
227.047776025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157737.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226.07224372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448830.5,0,1214003.4
242.06709546,1488418.1,1560153.8,0,0,1283808.6,0,1605849.5,0,1974648.8,1607823.9,0,0,3377192,0,2426572.8,2076642.3,0,0,1520439.9,0,1228825.1,1422769.3,0,0,1230637.3,0,1461369.6,0,0,0,0,0,0,0,0,0,1224043.4,0,0,0,1241240.4,1186534.8,0,1340940.1,1703637,0,1467678.4,1393194.4,1672047.9,1699947.8,0,0,0,2303062.8,0,0,0,3031244.8,0,1198177
258.062139202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751889.3,0,1282981.1
274.056933943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325665.9,0,0
318.057966517,0,0,0,0,0,0,1374234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682326.6,0,0,0,0,0,0,0,0
181.087130041,0,0,0,0,0,0,1166111.3,0,0,0,1175205.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986732,0,0,0,0,0,0,0,0,0,0,0,0,0,1617842.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1508727.3,0,0,0,0
197.081987314,1473562.8,1496679.4,1389961.1,1675853.5,2023615.8,1406058.6,2798766,0,2634676.3,3681350,1768712.3,2358267,1870956.1,2218144.5,1868195.3,3574260,2141957.5,1941498.6,2434211.5,1799803.9,2516816.8,2067957.1,2160127.5,1356142,1485853.6,1456442.5,3315181.5,8737190,0,1760192.5,1171913.3,2294821.5,1188411.5,1701874.5,1313087.5,2075378.4,0,2108067.8,2527892.8,1343442.6,2067849.3,4124999.5,1367596,1536818.6,2221255.5,1327439.9,2077595.5,1578684.6,2083883.3,1751746.6,0,2238866.5,1921840.3,1759934.4,14368219,4381692,0,8249206,0,4116319
225.088227213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1738779.8,0,0
213.076884794,2853967,1926341.3,3314245,2190851,3631636,1697693.3,5530483,0,5230331.5,5374864.5,3916156.8,4066493,3069481.3,5726777.5,3893559.8,6264364,3060979.5,2440702.8,3994553.3,1635435.5,4006613.8,3903448.3,2329349.3,2379215,2549195,2616297.5,4699543,12436158,2543515.8,2483241.3,2049560.3,4283810.5,2092096,3881434.8,2276874,2353139,2176100.5,4136064.5,3100235.8,2302340.3,4189188.8,7240659,2661980.3,2925889,3188745.3,3254627,3040949.5,2928534,3211810.5,1944248.8,1951007.3,3558124.8,2401050.8,2333701.5,7512927.5,4260731,0,8695798,1700762.1,7245559
241.083163773,0,0,0,0,0,0,1225610.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757523.8,0,0
245.048998758,1527991.8,1847235.3,1768581.4,0,3799322.3,1562918.1,2249083.5,1258948,2478345.5,2277327.8,2312426.3,3607194.5,1938610,2906195.8,3102480.3,4553727,2782714.8,2089938.9,2771827,1520878.6,1800343.9,1628105.1,1789087.8,1690204.3,1976493.6,2772033.5,2270300.5,2569775.3,1855782.4,1675287.6,0,2068998.9,1328479.9,1729048.9,1489913.6,0,1429328.1,1884159.6,2745147.8,2750337.3,1590467.5,2053593,1667267.1,2141450.5,1923778.1,1291977.6,2088314.3,2043582.6,2252021.5,5555373.5,1725070.5,2576850,8016429.5,2798207.5,2037623.8,1539871.5,0,2533615.5,1328076.5,3124278.8
