"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","34S"
"49","243.123528","243.123711473","243.12379729","1354295.9","-9999","813425.9","21.86","-1","-0.352975848","0.977646579","0","0.586587947","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999"
"50","245.048457","245.048643372","245.048538149","720631.5","-9999","1394721.3","10.69","-1","0.429397585","0.967097537","0","0.580258522","9","0.166666667","0.916666667","N2 P1 O2","de-protonated","0","-9999","C12 H11 O2 N2 P1","12","11","2","2","1","-9999","-9999","-9999"
"51","245.04867","245.048856372","245.048918271","939351.5","-9999","628974.4","14.54","-1","-0.252598335","0.988489261","0","0.593093557","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999"
"53","245.06648","245.066666399","245.066676336","1412058.1","-9999","826322.1","22.87","-1","-0.040547619","0.999701723","0","0.599821034","4","0.7","1.4","O7","de-protonated","0","-9999","C10 H14 O7","10","14","7","-9999","-9999","-9999","-9999","-9999"
"55","245.102837","245.103023454","245.103061845","1429343.5","-9999","840708.1","23.18","-1","-0.156634002","0.995558194","0","0.597334916","3","0.545454545","1.636363636","O6","de-protonated","0","-9999","C11 H18 O6","11","18","6","-9999","-9999","-9999","-9999","-9999"
"56","245.139235","245.139421509","245.139447355","670116.9","-9999","1059877.4","9.8","-1","-0.105433929","0.997984992","0","0.598790995","2","0.416666667","1.833333333","O5","de-protonated","0","-9999","C12 H22 O5","12","22","5","-9999","-9999","-9999","-9999","-9999"
"57","247.08213","247.082319434","247.0823264","1008130.9","-9999","879505.2","15.7","-1","-0.028193609","0.999855781","0","0.599913468","3","0.7","1.6","O7","de-protonated","0","-9999","C10 H16 O7","10","16","7","-9999","-9999","-9999","-9999","-9999"
"58","253.071496","253.071694453","253.071761716","550290.2","-9999","809294.2","7.62","-1","-0.2657873","0.987263742","0","0.592358245","6","0.5","1.166666667","O6","de-protonated","0","-9999","C12 H14 O6","12","14","6","-9999","-9999","-9999","-9999","-9999"
"59","253.107902","253.108100508","253.108147226","597271.2","-9999","899611.8","8.44","-1","-0.184576396","0.993837392","0","0.596302435","5","0.384615385","1.384615385","O5","de-protonated","0","-9999","C13 H18 O5","13","18","5","-9999","-9999","-9999","-9999","-9999"
"61","253.144289","253.144487563","253.144532735","1024476.1","-9999","825434.7","15.92","-1","-0.178444888","0.994238865","0","0.596543319","4","0.285714286","1.571428571","O4","de-protonated","0","-9999","C14 H22 O4","14","22","4","-9999","-9999","-9999","-9999","-9999"
"62","255.087168","255.087369488","255.087411781","1209568.9","-9999","819095.2","19.08","-1","-0.165796106","0.995024693","0","0.597014816","5","0.5","1.333333333","O6","de-protonated","0","-9999","C12 H16 O6","12","16","6","-9999","-9999","-9999","-9999","-9999"
"63","255.12354","255.123741543","255.12379729","1380709.8","-9999","733200.9","22.07","-1","-0.218509918","0.991373865","0","0.594824319","4","0.384615385","1.538461538","O5","de-protonated","0","-9999","C13 H20 O5","13","20","5","-9999","-9999","-9999","-9999","-9999"
"65","257.066418","257.066622469","257.066676336","1084514.1","-9999","834450.6","16.9","-1","-0.209545765","0.992064347","0","0.595238608","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999"
"67","257.102805","257.103009523","257.103061845","2167270.8","-9999","765050.5","35.78","-1","-0.203505127","0.992513587","0","0.595508152","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999"
"68","257.13917","257.139374578","257.139447355","1109675.5","-9999","675269.4","17.27","-1","-0.283023019","0.985570707","0","0.591342424","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999"
"71","259.082081","259.082288504","259.0823264","1836894.8","-9999","676374.3","29.91","-1","-0.146271984","0.996125342","0","0.597675205","4","0.636363636","1.454545455","O7","de-protonated","0","-9999","C11 H16 O7","11","16","7","-9999","-9999","-9999","-9999","-9999"
"73","259.118459","259.118666559","259.11871191","1770979.3","-9999","823057.3","28.76","-1","-0.175020389","0.994457257","0","0.596674354","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999"
"74","259.154887","259.155094613","259.155097419","686439.7","-9999","967143.8","9.91","-1","-0.010825772000000001","0.999978735","0","0.599987241","2","0.384615385","1.846153846","O5","de-protonated","0","-9999","C13 H24 O5","13","24","5","-9999","-9999","-9999","-9999","-9999"
"75","261.061341","261.061551484","261.061590955","668300.9","-9999","783731.9","9.56","-1","-0.151194991","0.995860687","0","0.597516412","4","0.8","1.4","O8","de-protonated","0","-9999","C10 H14 O8","10","14","8","-9999","-9999","-9999","-9999","-9999"
"77","261.097719","261.097929539","261.097976465","1134801.3","-9999","852337.5","17.64","-1","-0.17972478","0.994156169","0","0.596493701","3","0.636363636","1.636363636","O7","de-protonated","0","-9999","C11 H18 O7","11","18","7","-9999","-9999","-9999","-9999","-9999"
"78","265.147611","265.147827637","265.147904038","7773084","-9999","633383.1","132.05","-1","-0.288144594","0.985610673","0.993814331","0.988892136","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999"
"79","266.150967","266.151185148","266.151258873","947912.1","-9999","699132.5","14.34","-1","-0.277004666","0.986173629","0.993814331","0.98922991","0","0.333333333","2.166666667","13C1 S1 O4","de-protonated","1","78","C11 H26 O4 S1 13C1","11","26","4","-9999","-9999","1","1","-9999"
"79","266.150967","266.151185148","266.151015097","947912.1","-9999","699132.5","14.34","-1","0.638929591","0.92860391900000006","0","0.557162352","5","0.230769231","1.615384615","N3 O3","de-protonated","0","-9999","C13 H21 O3 N3","13","21","3","3","-9999","-9999","-9999","-9999"
"82","267.08709","267.087309558","267.087411781","598827.1","-9999","678764.9","8.31","-1","-0.382731952","0.973770837","0","0.584262502","6","0.461538462","1.230769231","O6","de-protonated","0","-9999","C13 H16 O6","13","16","6","-9999","-9999","-9999","-9999","-9999"
"83","267.123533","267.123752613","267.12379729","638766.9","-9999","658941.5","9","-1","-0.167253388","0.99493707","0","0.596962242","5","0.357142857","1.428571429","O5","de-protonated","0","-9999","C14 H20 O5","14","20","5","-9999","-9999","-9999","-9999","-9999"
"86","269.066397","269.066619538","269.066676336","758262.8","-9999","751473.8","11.02","-1","-0.211090929","0.991947357","0","0.595168414","6","0.583333333","1.166666667","O7","de-protonated","0","-9999","C12 H14 O7","12","14","7","-9999","-9999","-9999","-9999","-9999"
"87","269.102758","269.102980593","269.103061845","1590458.4","-9999","669000.8","25.31","-1","-0.301936854","0.98359414","0","0.590156484","5","0.461538462","1.384615385","O6","de-protonated","0","-9999","C13 H18 O6","13","18","6","-9999","-9999","-9999","-9999","-9999"
"89","269.130909","269.131131635","269.131205146","4586813.5","-9999","694474.9","76.79","-1","-0.273140388","0.988545909","0.962707324","0.978210475","4","0.214285714","1.642857143","P1 O3","de-protonated","0","-9999","C14 H23 O3 P1","14","23","3","-9999","1","-9999","-9999","-9999"
"92","269.139164","269.139386648","269.139447355","2865470","-9999","756509","47.22","-1","-0.225558393","0.990810989","0","0.594486594","4","0.357142857","1.571428571","O5","de-protonated","0","-9999","C14 H22 O5","14","22","5","-9999","-9999","-9999","-9999","-9999"
"93","270.134274","270.134498146","270.134559981","931489.6","-9999","828949.7","13.99","-1","-0.228903676","0.990537705","0.962707324","0.979405552","4","0.214285714","1.642857143","13C1 P1 O3","de-protonated","1","89","C13 H23 O3 P1 13C1","13","23","3","-9999","1","-9999","1","-9999"
"93","270.134274","270.134498146","270.134696327","931489.6","-9999","828949.7","13.99","-1","-0.73363554","0.906957659","0","0.544174595","4","0.384615385","1.615384615","N1 O5","de-protonated","0","-9999","C13 H21 O5 N1","13","21","5","1","-9999","-9999","-9999","-9999"
"95","271.045563","271.045788519","271.045940891","581755.1","-9999","776006.3","7.98","-1","-0.562164459","0.944270106","0","0.566562063","6","0.727272727","1.090909091","O8","de-protonated","0","-9999","C11 H12 O8","11","12","8","-9999","-9999","-9999","-9999","-9999"
"96","271.081995","271.082220573","271.0823264","2029310.6","-9999","649566.3","32.85","-1","-0.390386517","0.97272577","0","0.583635462","5","0.583333333","1.333333333","O7","de-protonated","0","-9999","C12 H16 O7","12","16","7","-9999","-9999","-9999","-9999","-9999"
"98","271.118389","271.118614628","271.11871191","2431746.3","-9999","676520.3","39.76","-1","-0.358814897","0.976909581","0","0.586145748","4","0.461538462","1.538461538","O6","de-protonated","0","-9999","C13 H20 O6","13","20","6","-9999","-9999","-9999","-9999","-9999"
"99","271.118747","271.118972629","271.11871191","577026.3","-9999","1064374.7","7.9","-1","0.961641875","0.845526645","0","0.507315987","4","0.461538462","1.538461538","O6","de-protonated","0","-9999","C13 H20 O6","13","20","6","-9999","-9999","-9999","-9999","-9999"
"100","271.154751","271.154976683","271.155097419","1116805.8","-9999","734266.7","17.17","-1","-0.445265568","0.964665109","0","0.578799065","3","0.357142857","1.714285714","O5","de-protonated","0","-9999","C14 H24 O5","14","24","5","-9999","-9999","-9999","-9999","-9999"
"102","273.061271","273.061499554","273.061590955","954300","-9999","616346","14.32","-1","-0.334728804","0.979875141","0","0.587925084","5","0.727272727","1.272727273","O8","de-protonated","0","-9999","C11 H14 O8","11","14","8","-9999","-9999","-9999","-9999","-9999"
"104","273.097656","273.097884609","273.097976465","2856895.5","-9999","670220.6","46.87","-1","-0.336348669","0.979681885","0","0.587809131","4","0.583333333","1.5","O7","de-protonated","0","-9999","C12 H18 O7","12","18","7","-9999","-9999","-9999","-9999","-9999"
"105","273.134029","273.134257663","273.134361974","2605506.8","-9999","633494.7","42.57","-1","-0.381902589","0.973882893","0","0.584329736","3","0.461538462","1.692307692","O6","de-protonated","0","-9999","C13 H22 O6","13","22","6","-9999","-9999","-9999","-9999","-9999"
"106","273.170375","273.170603718","273.170747484","539590.3","-9999","867355.9","7.22","-1","-0.526283803","0.95098529","0","0.570591174","2","0.357142857","1.857142857","O5","de-protonated","0","-9999","C14 H26 O5","14","26","5","-9999","-9999","-9999","-9999","-9999"
"107","275.076888","275.077119589","275.07724102","1179510.4","-9999","527848.7","18.17","-1","-0.441442925","0.965258592","0","0.579155155","4","0.727272727","1.454545455","O8","de-protonated","0","-9999","C11 H16 O8","11","16","8","-9999","-9999","-9999","-9999","-9999"
"108","275.113274","275.113505644","275.113626529","1050681.6","-9999","519583.8","15.96","-1","-0.439401941","0.965573517","0","0.57934411","3","0.583333333","1.666666667","O7","de-protonated","0","-9999","C12 H20 O7","12","20","7","-9999","-9999","-9999","-9999","-9999"
"110","275.149691","275.149922699","275.150012039","553725","-9999","1118476.8","7.46","-1","-0.324695513","0.981052187","0","0.588631312","2","0.461538462","1.846153846","O6","de-protonated","0","-9999","C13 H24 O6","13","24","6","-9999","-9999","-9999","-9999","-9999"
"111","279.163196","279.163433742","279.163554103","1275486.1","-9999","657953.9","19.72","-1","-0.431147165","0.966833373","0","0.580100024","0","0.307692308","2.153846154","S1 O4","de-protonated","0","-9999","C13 H28 O4 S1","13","28","4","-9999","-9999","1","-9999","-9999"
"111","279.163196","279.163433742","279.16317398","1275486.1","-9999","657953.9","19.72","-1","0.930502191","0.854614746","0","0.512768847","5","0.066666667","1.666666667","N2 P1 O1","de-protonated","0","-9999","C15 H25 O1 N2 P1","15","25","1","2","1","-9999","-9999","-9999"
"112","281.102635","281.102875663","281.103061845","673249.3","-9999","449097","9.46","-1","-0.662328562","0.923487744","0","0.554092646","6","0.428571429","1.285714286","O6","de-protonated","0","-9999","C14 H18 O6","14","18","6","-9999","-9999","-9999","-9999","-9999"
"113","281.139074","281.139314718","281.139447355","709764.3","-9999","651296.2","10.08","-1","-0.471783905","0.960417822","0","0.576250693","5","0.333333333","1.466666667","O5","de-protonated","0","-9999","C15 H22 O5","15","22","5","-9999","-9999","-9999","-9999","-9999"
"114","283.081963","283.082206643","283.0823264","1141667.6","-9999","815183.6","17.36","-1","-0.423047262","0.968047921","0","0.580828753","6","0.538461538","1.230769231","O7","de-protonated","0","-9999","C13 H16 O7","13","16","7","-9999","-9999","-9999","-9999","-9999"
"116","283.118364","283.118607698","283.11871191","1486630.5","-9999","683157.5","23.22","-1","-0.368084961","0.975715867","0","0.58542952","5","0.428571429","1.428571429","O6","de-protonated","0","-9999","C14 H20 O6","14","20","6","-9999","-9999","-9999","-9999","-9999"
"117","283.154738","283.154981753","283.155097419","1208489.5","-9999","688373.4","18.5","-1","-0.408491031","0.970176349","0","0.582105809","4","0.333333333","1.6","O5","de-protonated","0","-9999","C15 H24 O5","15","24","5","-9999","-9999","-9999","-9999","-9999"
"118","285.061234","285.061480624","285.061590955","652609.9","-9999","734847.7","9.06","-1","-0.387045848","0.973184274","0","0.583910564","6","0.666666667","1.166666667","O8","de-protonated","0","-9999","C12 H14 O8","12","14","8","-9999","-9999","-9999","-9999","-9999"
"119","285.097601","285.097847678","285.097976465","2566596.8","-9999","557027.6","41.54","-1","-0.45172714","0.963651129","0","0.578190678","5","0.538461538","1.384615385","O7","de-protonated","0","-9999","C13 H18 O7","13","18","7","-9999","-9999","-9999","-9999","-9999"
"121","285.125758","285.126004721","285.126119766","12279495","-9999","586166.8","206.33","-1","-0.403487953","0.975673957","0.98983323","0.981337666","4","0.285714286","1.642857143","P1 O4","de-protonated","0","-9999","C14 H23 O4 P1","14","23","4","-9999","1","-9999","-9999","-9999"
"122","285.133986","285.134232733","285.134361974","2912455.8","-9999","542545.1","47.4","-1","-0.453263695","0.963408015","0","0.578044809","4","0.428571429","1.571428571","O6","de-protonated","0","-9999","C14 H22 O6","14","22","6","-9999","-9999","-9999","-9999","-9999"
