"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","15N","33S","34S"
"230","357.156703","357.156661471","357.156360722","1046138.1","-9999","558795.6","13.58","-1","0.84206491000000006","0.879272497","0","0.527563498","4","0.166666667","1.666666667","S2 O3","de-protonated","0","-9999","C18 H30 O3 S2","18","30","3","-9999","-9999","2","-9999","-9999","-9999","-9999"
"230","357.156703","357.156661471","357.156828753","1046138.1","-9999","558795.6","13.58","-1","-0.468370748","0.960977188","0","0.576586313","10","0.222222222","1.222222222","N4 O4","de-protonated","0","-9999","C18 H22 O4 N4","18","22","4","4","-9999","-9999","-9999","-9999","-9999","-9999"
"231","357.193153","357.193111453","357.193214262","2014592.1","-9999","560308.6","27.89","-1","-0.287824742","0.985080645","0","0.591048387","9","0.157894737","1.368421053","N4 O3","de-protonated","0","-9999","C19 H26 O3 N4","19","26","3","4","-9999","-9999","-9999","-9999","-9999","-9999"
"233","359.164336","359.164293486","359.164616731","1151439.6","-9999","652539.4","15.13","-1","-0.899992085","0.863319142","0","0.517991485","4","0.3125","1.75","N2 S1 O5","de-protonated","0","-9999","C16 H28 O5 N2 S1","16","28","5","2","-9999","1","-9999","-9999","-9999","-9999"
"233","359.164336","359.164293486","359.164236609","1151439.6","-9999","652539.4","15.13","-1","0.158359886","0.995459994","0","0.597275996","9","0.111111111","1.388888889","N4 P1 O2","de-protonated","0","-9999","C18 H25 O2 N4 P1","18","25","2","4","1","-9999","-9999","-9999","-9999","-9999"
"234","359.208736","359.208693464","359.208396296","1486295.3","-9999","534295.9","20.08","-1","0.827286435","0.883217316","0","0.52993039","2","0.105263158","1.894736842","S2 O2","de-protonated","0","-9999","C19 H36 O2 S2","19","36","2","-9999","-9999","2","-9999","-9999","-9999","-9999"
"234","359.208736","359.208693464","359.208864327","1486295.3","-9999","534295.9","20.08","-1","-0.47566314","0.959777541","0","0.575866525","8","0.157894737","1.473684211","N4 O3","de-protonated","0","-9999","C19 H28 O3 N4","19","28","3","4","-9999","-9999","-9999","-9999","-9999","-9999"
"236","361.070967","361.07092355","361.071110268","944668.5","-9999","493090.7","12.07","-1","-0.517120238","0.952636572","0","0.571581943","6","0.615384615","1.384615385","N2 S1 O8","de-protonated","0","-9999","C13 H18 O8 N2 S1","13","18","8","2","-9999","1","-9999","-9999","-9999","-9999"
"236","361.070967","361.07092355","361.070730145","944668.5","-9999","493090.7","12.07","-1","0.53564392","0.949271678","0","0.569563007","11","0.333333333","1","N4 P1 O5","de-protonated","0","-9999","C15 H15 O5 N4 P1","15","15","5","4","1","-9999","-9999","-9999","-9999","-9999"
"237","361.104811","361.104767534","361.104993854","1527842.5","-9999","605424.6","20.69","-1","-0.626742049","0.931206651","0","0.558723991","9","0.111111111","1.222222222","N2 S2 O2","de-protonated","0","-9999","C18 H22 O2 N2 S2","18","22","2","2","-9999","2","-9999","-9999","-9999","-9999"
