"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","33S","34S"
"79","257.048729","257.048757156","257.048538149","559239.3","-9999","861753.1","7.73","-1","0.852009047","0.876588926","0","0.525953355","10","0.153846154","0.846153846","N2 P1 O2","de-protonated","0","-9999","C13 H11 O2 N2 P1","13","11","2","2","1","-9999","-9999","-9999","-9999"
"81","257.066497","257.066525146","257.066676336","1202377.5","-9999","725811","18.94","-1","-0.588135388","0.939165384","0","0.56349923","5","0.636363636","1.272727273","O7","de-protonated","0","-9999","C11 H14 O7","11","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
"83","257.102879","257.102907125","257.103061845","2057166","-9999","689302.6","33.83","-1","-0.601784802","0.936401703","0","0.561841022","4","0.5","1.5","O6","de-protonated","0","-9999","C12 H18 O6","12","18","6","-9999","-9999","-9999","-9999","-9999","-9999"
"85","257.139273","257.139301103","257.139447355","1523410.5","-9999","878347.2","24.44","-1","-0.568763095","0.942992358","0","0.565795415","3","0.384615385","1.692307692","O5","de-protonated","0","-9999","C13 H22 O5","13","22","5","-9999","-9999","-9999","-9999","-9999","-9999"
"87","259.082136","259.082162963","259.0823264","2035648.3","-9999","772982.9","33.34","-1","-0.630832753","0.930337833","0","0.5582027","4","0.636363636","1.454545455","O7","de-protonated","0","-9999","C11 H16 O7","11","16","7","-9999","-9999","-9999","-9999","-9999","-9999"
"89","259.118516","259.118542941","259.11871191","2194372.5","-9999","937501.4","36.09","-1","-0.65208846","0.925745894","0","0.555447537","3","0.5","1.666666667","O6","de-protonated","0","-9999","C12 H20 O6","12","20","6","-9999","-9999","-9999","-9999","-9999","-9999"
"90","259.154894","259.15492092","259.155097419","664457","-9999","978603.3","9.53","-1","-0.68105558","0.919281805","0","0.551569083","2","0.384615385","1.846153846","O5","de-protonated","0","-9999","C13 H24 O5","13","24","5","-9999","-9999","-9999","-9999","-9999","-9999"
"91","261.061401","261.061426801","261.061590955","685032.3","-9999","857131.1","9.84","-1","-0.628796153","0.930770988","0","0.558462593","4","0.8","1.4","O8","de-protonated","0","-9999","C10 H14 O8","10","14","8","-9999","-9999","-9999","-9999","-9999","-9999"
"92","261.097762","261.09778778","261.097976465","1517740.5","-9999","896629.3","24.25","-1","-0.72266059","0.909591703","0","0.545755022","3","0.636363636","1.636363636","O7","de-protonated","0","-9999","C11 H18 O7","11","18","7","-9999","-9999","-9999","-9999","-9999","-9999"
"93","261.134129","261.134154758","261.134361974","555952.7","-9999","872197.1","7.61","-1","-0.793522204","0.892031215","0","0.535218729","2","0.5","1.833333333","O6","de-protonated","0","-9999","C12 H22 O6","12","22","6","-9999","-9999","-9999","-9999","-9999","-9999"
"94","262.975769","262.975793677","262.975967805","6618751.5","-9999","671967.7","112.49","-1","-0.662141522","0.307843085","0.820161645","0.512770509","9","0.083333333","0.75","S2 P1 O1","de-protonated","0","-9999","C12 H9 O1 P1 S2","12","9","1","-9999","1","2","-9999","-9999","-9999"
"95","265.147363","265.147386403","265.147523916","1488745.3","-9999","897482.4","23.65","-1","-0.518629314","0.952366434","0","0.571419861","5","0.071428571","1.642857143","N2 P1 O1","de-protonated","0","-9999","C14 H23 O1 N2 P1","14","23","1","2","1","-9999","-9999","-9999","-9999"
"96","265.14769","265.147713402","265.147904038","2549097.3","-9999","637653.4","41.92","-1","-0.718979813","0.910467908","0","0.546280745","0","0.333333333","2.166666667","S1 O4","de-protonated","0","-9999","C12 H26 O4 S1","12","26","4","-9999","-9999","1","-9999","-9999","-9999"
