"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","OtoC_ratio","HtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","18O","34S"
"73","239.092564","239.092565386","239.092497161","556923.1","-9999","577645.9","7.84","-1","0.285347147","0.985334506","0","0.591200704","5","0.416666667","1.333333333","O5","de-protonated","0","-9999","C12 H16 O5","12","16","5","-9999","-9999","-9999","-9999","-9999","-9999"
"74","239.128955","239.12895646","239.128882671","658529.1","-9999","828788.2","9.64","-1","0.308577004","0.982870898","0","0.589722539","4","0.307692308","1.538461538","O4","de-protonated","0","-9999","C13 H20 O4","13","20","4","-9999","-9999","-9999","-9999","-9999","-9999"
"75","241.071744","241.071749446","241.071761716","949473.9","-9999","698213.5","14.73","-1","-0.050898215","0.999530044","0","0.599718027","5","0.545454545","1.272727273","O6","de-protonated","0","-9999","C11 H14 O6","11","14","6","-9999","-9999","-9999","-9999","-9999","-9999"
"76","241.108149","241.108154521","241.108147226","1692135.9","-9999","745521.9","27.81","-1","0.03025704","0.9998339","0","0.59990034","4","0.416666667","1.5","O5","de-protonated","0","-9999","C12 H18 O5","12","18","5","-9999","-9999","-9999","-9999","-9999","-9999"
"77","241.144466","241.144471595","241.144532735","812589.9","-9999","580587.9","12.31","-1","-0.253539319","0.988403842","0","0.593042305","3","0.307692308","1.692307692","O4","de-protonated","0","-9999","C13 H22 O4","13","22","4","-9999","-9999","-9999","-9999","-9999","-9999"
"79","243.050911","243.050920507","243.051026271","572325.7","-9999","775467.1","8.05","-1","-0.435154028","0.966224619","0","0.579734771","5","0.7","1.2","O7","de-protonated","0","-9999","C10 H12 O7","10","12","7","-9999","-9999","-9999","-9999","-9999","-9999"
"81","243.087497","243.087506582","243.087411781","1648619.6","-9999","583401.6","26.95","-1","0.389987612","0.972780715","0","0.583668429","4","0.545454545","1.454545455","O6","de-protonated","0","-9999","C11 H16 O6","11","16","6","-9999","-9999","-9999","-9999","-9999","-9999"
"82","243.123682","243.123691656","243.12379729","1240625.5","-9999","711835.1","19.78","-1","-0.434486595","0.966326385","0","0.579795831","3","0.416666667","1.666666667","O5","de-protonated","0","-9999","C12 H20 O5","12","20","5","-9999","-9999","-9999","-9999","-9999","-9999"
"83","245.04905","245.049063606","245.048918271","597928.7","-9999","845366.8","8.49","-1","0.593086358","0.93816932","0","0.562901592","4","0.5","1.4","S1 O5","de-protonated","0","-9999","C10 H14 O5 S1","10","14","5","-9999","-9999","1","-9999","-9999","-9999"
"84","245.066687","245.066700643","245.066676336","1635947.5","-9999","722845.3","26.72","-1","0.099183684","0.998216608","0","0.598929965","4","0.7","1.4","O7","de-protonated","0","-9999","C10 H14 O7","10","14","7","-9999","-9999","-9999","-9999","-9999","-9999"
