Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,34S
275,213.077061,213.076843311,213.076847097,2661980.3,-9999,470511.6,19.91,-1,-0.017768999,0.999942712,0,0.599965627,4,0.5,1.4,O5,de-protonated,0,-9999,C10 H14 O5,10,14,5,-9999,-9999,-9999,-9999,-9999
276,213.113469,213.113251375,213.113232606,3531356.3,-9999,451411,27.24,-1,0.088067896,0.998593682,0,0.599156209,3,0.363636364,1.636363636,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,-9999
277,213.124685,213.124467394,213.124465995,1976668.1,-9999,451242.6,14.13,-1,0.006563505,0.999992183,0,0.59999531,3,0.3,1.8,N2 O3,de-protonated,0,-9999,C10 H18 O3 N2,10,18,3,2,-9999,-9999,-9999,-9999
278,213.149924,213.149706439,213.149618115,1462492,-9999,433316.7,9.79,-1,0.414371433,0.969324921,0,0.581594952,2,0.25,1.833333333,O3,de-protonated,0,-9999,C12 H22 O3,12,22,3,-9999,-9999,-9999,-9999,-9999
279,213.964037,213.963820868,213.963808921,1179097.1,-9999,367562.6,7.4,-1,0.055839735,0.999434389,0,0.599660634,6,0.428571429,0.714285714,N1 S2 O3,de-protonated,0,-9999,C7 H5 O3 N1 S2,7,5,3,1,-9999,2,-9999,-9999
280,214.145057,214.144841186,214.144867088,1566424.5,-9999,385550.4,10.67,-1,-0.120952038,0.997349035,0,0.598409421,2,0.272727273,1.909090909,N1 O3,de-protonated,0,-9999,C11 H21 O3 N1,11,21,3,1,-9999,-9999,-9999,-9999
283,215.056321,215.056106787,215.056111652,2082902.4,-9999,494572.7,15.02,-1,-0.022621745,0.999907149,0,0.599944289,4,0.666666667,1.333333333,O6,de-protonated,0,-9999,C9 H12 O6,9,12,6,-9999,-9999,-9999,-9999,-9999
284,215.092763,215.092548851,215.092497161,3606102.3,-9999,423151.9,27.87,-1,0.240313875,0.989575912,0,0.593745547,3,0.5,1.6,O5,de-protonated,0,-9999,C10 H16 O5,10,16,5,-9999,-9999,-9999,-9999,-9999
285,215.129118,215.128903915,215.128882671,8613462,-9999,462101.6,70.11,-1,0.098751103,0.998232117,0,0.59893927,2,0.363636364,1.818181818,O4,de-protonated,0,-9999,C11 H20 O4,11,20,4,-9999,-9999,-9999,-9999,-9999
286,215.140321,215.140106934,215.14011606,1766102.1,-9999,437939.3,12.35,-1,-0.042416073,0.999673605,0,0.599804163,2,0.3,2,N2 O3,de-protonated,0,-9999,C10 H20 O3 N2,10,20,3,2,-9999,-9999,-9999,-9999
