Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
287,203.056254,203.056136252,203.056111652,1311883,-9999,722477.3,8.57,-1,0.121150848,0.997340325,0,0.598404195,3,0.75,1.5,O6,de-protonated,0,-9999,C8 H12 O6,8,12,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
288,203.09271,203.09259224,203.092497161,2368654.5,-9999,556423.9,17.54,-1,0.468153617,0.961012646,0,0.576607588,2,0.555555556,1.777777778,O5,de-protonated,0,-9999,C9 H16 O5,9,16,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
292,205.014516,205.014397576,205.014246839,1145534,-9999,470245.4,7.14,-1,0.735253621,0.906566605,0,0.543939963,8,0.5,0.6,O5,de-protonated,0,-9999,C10 H6 O5,10,6,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
293,205.050844,205.050725564,205.050632348,1239425.1,-9999,454445.1,7.93,-1,0.45459786,0.963196303,0,0.577917782,7,0.363636364,0.909090909,O4,de-protonated,0,-9999,C11 H10 O4,11,10,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
302,207.012345,207.012225887,207.012138839,1833697.8,-9999,597016.7,12.96,-1,0.420497988,0.96842572,0,0.581055432,7,0.3,0.8,S1 O3,de-protonated,0,-9999,C10 H8 O3 S1,10,8,3,-9999,-9999,1,-9999,-9999,-9999,-9999
303,207.030053,207.029933881,207.029896903,2490083,-9999,505667.9,18.52,-1,0.178608677,0.994228315,0,0.596536989,7,0.5,0.8,O5,de-protonated,0,-9999,C10 H8 O5,10,8,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
313,209.009334,209.009214198,209.009161458,9110390,-9999,503714.8,74.41,-1,0.252328979,0.988513655,0,0.593108193,7,0.666666667,0.666666667,O6,de-protonated,0,-9999,C9 H6 O6,9,6,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
314,209.045705,209.045585185,209.045546968,2182008.8,-9999,502702.4,15.87,-1,0.182817407,0.993953936,0,0.596372362,6,0.5,1,O5,de-protonated,0,-9999,C10 H10 O5,10,10,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
315,209.082052,209.081932172,209.081932477,1142523.3,-9999,507918.8,7.09,-1,-0.00145747,0.999999615,0,0.599999769,5,0.363636364,1.272727273,O4,de-protonated,0,-9999,C11 H14 O4,11,14,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
322,211.025004,211.024883502,211.024811523,3159552,-9999,512497.6,24.13,-1,0.341092076,0.979110835,0,0.587466501,6,0.666666667,0.888888889,O6,de-protonated,0,-9999,C9 H8 O6,9,8,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
323,211.061372,211.061251489,211.061197032,2447362.5,-9999,570186.7,18.12,-1,0.25801516,0.987993293,0,0.592795976,5,0.5,1.2,O5,de-protonated,0,-9999,C10 H12 O5,10,12,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
324,211.097814,211.097693477,211.097582542,1961988.9,-9999,536095.8,13.98,-1,0.525515541,0.951124734,0,0.570674841,4,0.363636364,1.454545455,O4,de-protonated,0,-9999,C11 H16 O4,11,16,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
330,213.015527,213.015405815,213.015309467,1394944.5,-9999,562738.7,9.2,-1,0.452302952,0.963560114,0,0.578136068,6,0.857142857,0.857142857,N2 O6,de-protonated,0,-9999,C7 H6 O6 N2,7,6,6,2,-9999,-9999,-9999,-9999,-9999,-9999
331,213.077006,213.076884794,213.076847097,2302340.3,-9999,533704.1,16.85,-1,0.176916563,0.994336849,0,0.596602109,4,0.5,1.4,O5,de-protonated,0,-9999,C10 H14 O5,10,14,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
332,213.113417,213.113295781,213.113232606,3541638.8,-9999,470003.6,27.29,-1,0.296438214,0.984181532,0,0.590508919,3,0.363636364,1.636363636,O4,de-protonated,0,-9999,C11 H18 O4,11,18,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
333,213.124642,213.124520777,213.124465995,1228935.4,-9999,552384.2,7.8,-1,0.257041074,0.988083238,0,0.592849943,3,0.3,1.8,N2 O3,de-protonated,0,-9999,C10 H18 O3 N2,10,18,3,2,-9999,-9999,-9999,-9999,-9999,-9999
334,213.149875,213.149753768,213.149618115,1348361,-9999,583124.1,8.81,-1,0.636421372,0.929143064,0,0.557485839,2,0.25,1.833333333,O3,de-protonated,0,-9999,C12 H22 O3,12,22,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
336,213.964052,213.963930487,213.963808921,2159548,-9999,510859.2,15.64,-1,0.568164477,0.943108817,0,0.56586529,6,0.428571429,0.714285714,N1 S2 O3,de-protonated,0,-9999,C7 H5 O3 N1 S2,7,5,3,1,-9999,2,-9999,-9999,-9999,-9999
337,214.108613,214.108491438,214.108481578,1153733,-9999,488670.8,7.17,-1,0.046047731,0.999615331,0,0.599769199,3,0.4,1.7,N1 O4,de-protonated,0,-9999,C10 H17 O4 N1,10,17,4,1,-9999,-9999,-9999,-9999,-9999,-9999
338,214.145057,214.144935425,214.144867088,1473863.3,-9999,514703.2,9.86,-1,0.319117063,0.981691717,0,0.58901503,2,0.272727273,1.909090909,N1 O3,de-protonated,0,-9999,C11 H21 O3 N1,11,21,3,1,-9999,-9999,-9999,-9999,-9999,-9999
