Index,Mass,Calibrated_Mass,Calculated_Mass,Peak_Height,Peak_Area,Resolving_Power,S_N,Ion_Charge,Error_ppm,Error_Score,Isotopologue_Similarity,Confidence_Score,DBE,OtoC_ratio,HtoC_ratio,Heteroatom_Class,Ion_Type,Is_Isotopologue,Mono_Isotopic_Index,Molecular_Formula,C,H,O,N,P,S,13C,18O,33S,34S
328,245.103117,245.103013905,245.103061845,1643983.9,-9999,451264,11.03,-1,-0.19559283,0.993082436,0,0.595849461,3,0.545454545,1.636363636,O6,de-protonated,0,-9999,C11 H18 O6,11,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
334,247.940048,247.93994527,247.939916648,1667156.4,-9999,356162.9,11.21,-1,0.115438371,0.997584933,0,0.59855096,10,0.1,0.4,N1 S2 P1 O1,de-protonated,0,-9999,C10 H4 O1 N1 P1 S2,10,4,1,1,1,2,-9999,-9999,-9999,-9999
336,250.144994,250.144891553,250.144867088,1920613.4,-9999,441538.2,13.23,-1,0.097805138,0.998265795,0,0.598959477,5,0.214285714,1.5,N1 O3,de-protonated,0,-9999,C14 H21 O3 N1,14,21,3,1,-9999,-9999,-9999,-9999,-9999,-9999
340,253.050856,253.050753927,253.050632348,1327294.9,-9999,396853.3,8.36,-1,0.480451151,0.958980632,0,0.575388379,11,0.266666667,0.666666667,O4,de-protonated,0,-9999,C15 H10 O4,15,10,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
341,253.144604,253.144501939,253.144532735,1611607,-9999,469647.5,10.69,-1,-0.121654766,0.997318183,0,0.59839091,4,0.285714286,1.571428571,O4,de-protonated,0,-9999,C14 H22 O4,14,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
344,255.062389,255.062287185,255.062259661,4014922.5,-9999,431818.3,30.24,-1,0.107913426,0.997889205,0,0.598733523,6,0.6,1.2,N2 O6,de-protonated,0,-9999,C10 H12 O6 N2,10,12,6,2,-9999,-9999,-9999,-9999,-9999,-9999
345,255.087574,255.087472189,255.087411781,1481041.1,-9999,487138.5,9.57,-1,0.236812237,0.989875948,0,0.593925569,5,0.5,1.333333333,O6,de-protonated,0,-9999,C12 H16 O6,12,16,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
346,255.160399,255.160297198,255.160182799,1353828.4,-9999,369539.9,8.53,-1,0.448339874,0.964184364,0,0.578510618,3,0.285714286,1.714285714,O4,de-protonated,0,-9999,C14 H24 O4,14,24,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
347,255.233053,255.232951207,255.232953818,2190711.5,-9999,488255.8,15.36,-1,-0.010229378,0.999981013,0,0.599988608,1,0.125,2,O2,de-protonated,0,-9999,C16 H32 O2,16,32,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999
349,257.175969,257.175867457,257.175832864,2048638.5,-9999,404631.7,14.19,-1,0.134511776,0.996722356,0,0.598033414,2,0.285714286,1.857142857,O4,de-protonated,0,-9999,C14 H26 O4,14,26,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
352,259.118891,259.118789707,259.11871191,1269263.5,-9999,384681,7.83,-1,0.300237797,0.983776757,0,0.590266054,3,0.5,1.666666667,O6,de-protonated,0,-9999,C12 H20 O6,12,20,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
353,259.130072,259.129970708,259.129945299,1450130.6,-9999,410668.6,9.31,-1,0.098056513,0.998256877,0,0.598954126,3,0.454545455,1.818181818,N2 O5,de-protonated,0,-9999,C11 H20 O5 N2,11,20,5,2,-9999,-9999,-9999,-9999,-9999,-9999
360,265.148023,265.147922482,265.147904038,17604644,-9999,391953.2,140.35,-1,0.069560396,0.999222613,0.995671688,0.997802243,0,0.333333333,2.166666667,S1 O4,de-protonated,0,-9999,C12 H26 O4 S1,12,26,4,-9999,-9999,1,-9999,-9999,-9999,-9999
361,266.151343,266.151242611,266.151258873,2188096.5,-9999,466152.9,15.23,-1,-0.061101623,0.999322807,0.995671688,0.99786236,0,0.333333333,2.166666667,13C1 S1 O4,de-protonated,1,360,C11 H26 O4 S1 13C1,11,26,4,-9999,-9999,1,1,-9999,-9999,-9999
361,266.151343,266.151242611,266.151015097,2188096.5,-9999,466152.9,15.23,-1,0.854832833,0.87582265,0,0.52549359,5,0.230769231,1.615384615,N3 O3,de-protonated,0,-9999,C13 H21 O3 N3,13,21,3,3,-9999,-9999,-9999,-9999,-9999,-9999
365,267.160245,267.160144741,267.160182799,1521246.4,-9999,417329.4,9.82,-1,-0.142456195,0.996324494,0,0.597794696,4,0.266666667,1.6,O4,de-protonated,0,-9999,C15 H24 O4,15,24,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
371,269.06674400000003,269.066643986,269.066676336,1322363,-9999,445383.4,8.15,-1,-0.120230062,0.997380547,0,0.598428328,6,0.583333333,1.166666667,O7,de-protonated,0,-9999,C12 H14 O7,12,14,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999
372,269.103176,269.103075991,269.103061845,1306501.3,-9999,498852.9,8.02,-1,0.052565107,0.999498767,0,0.59969926,5,0.461538462,1.384615385,O6,de-protonated,0,-9999,C13 H18 O6,13,18,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999
373,269.131305,269.131204994,269.131205146,1654157.3,-9999,498137.8,10.83,-1,-5.64082e-4,0.999999942,0,0.599999965,4,0.214285714,1.642857143,P1 O3,de-protonated,0,-9999,C14 H23 O3 P1,14,23,3,-9999,1,-9999,-9999,-9999,-9999,-9999
374,269.139568,269.139467995,269.139447355,2974863.5,-9999,420368.9,21.49,-1,0.076691695,0.998933358,0,0.599360015,4,0.357142857,1.571428571,O5,de-protonated,0,-9999,C14 H22 O5,14,22,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
375,269.212272,269.212172005,269.212218373,1711268.1,-9999,406079.4,11.29,-1,-0.172238066,0.994631614,0,0.596778968,2,0.1875,1.875,O3,de-protonated,0,-9999,C16 H30 O3,16,30,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
380,271.191633,271.191533259,271.191482928,2686675.8,-9999,414045.3,19.16,-1,0.185591362,0.993769643,0,0.596261786,2,0.266666667,1.866666667,O4,de-protonated,0,-9999,C15 H28 O4,15,28,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
381,271.228046,271.227946264,271.227868438,1836510,-9999,389122.1,12.3,-1,0.286940015,0.985171541,0,0.591102924,1,0.1875,2,O3,de-protonated,0,-9999,C16 H32 O3,16,32,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999
392,277.059778,277.059679014,277.059496756,7661874,-9999,368818.1,58.96,-1,0.657829353,0.924483564,0,0.554690139,4,0.666666667,1.666666667,N2 P1 O6,de-protonated,0,-9999,C9 H15 O6 N2 P1,9,15,6,2,1,-9999,-9999,-9999,-9999,-9999
393,277.144668,277.144569025,277.144532735,1619529,-9999,452389,10.47,-1,0.130941044,0.996893795,0,0.598136277,6,0.25,1.375,O4,de-protonated,0,-9999,C16 H22 O4,16,22,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999
394,277.157633,277.157534026,277.157419895,1232204.5,-9999,410756.8,7.36,-1,0.411793743,0.969699552,0,0.581819731,1,0.307692308,2.076923077,P1 O4,de-protonated,0,-9999,C13 H27 O4 P1,13,27,4,-9999,1,-9999,-9999,-9999,-9999,-9999
395,278.152948,278.152849154,278.152668867,8482394,-9999,370939.9,65.54,-1,0.648160112,0.946928432,0.980372584,0.960306093,1,0.333333333,2.166666667,N1 P1 O4,de-protonated,0,-9999,C12 H26 O4 N1 P1,12,26,4,1,1,-9999,-9999,-9999,-9999,-9999
399,279.100656,279.100557276,279.10029894,1239896,-9999,406682.3,7.42,-1,0.925601866,0.85602634,0,0.513615804,2,0.545454545,1.909090909,P1 O6,de-protonated,0,-9999,C11 H21 O6 P1,11,21,6,-9999,1,-9999,-9999,-9999,-9999,-9999
400,279.156242,279.156143283,279.156023702,1318246.8,-9999,421075.3,8.05,-1,0.428367595,0.967252582,0.980372584,0.972500583,1,0.333333333,2.166666667,13C1 N1 P1 O4,de-protonated,1,395,C11 H26 O4 N1 P1 13C1,11,26,4,1,1,-9999,1,-9999,-9999,-9999
400,279.156242,279.156143283,279.156160047,1318246.8,-9999,421075.3,8.05,-1,-0.060053217,0.99934584,0,0.599607504,1,0.545454545,2.181818182,N2 O6,de-protonated,0,-9999,C11 H24 O6 N2,11,24,6,2,-9999,-9999,-9999,-9999,-9999,-9999
401,279.163624,279.163525284,279.163554103,1624424.8,-9999,349007.5,10.51,-1,-0.103231944,0.9980682,0,0.59884092,0,0.307692308,2.153846154,S1 O4,de-protonated,0,-9999,C13 H28 O4 S1,13,28,4,-9999,-9999,1,-9999,-9999,-9999,-9999
406,281.030291,281.030192524,281.030290827,1316181,-9999,373243.5,7.98,-1,-0.349792641,0.978043497,0,0.586826098,8,0.666666667,0.833333333,O8,de-protonated,0,-9999,C12 H10 O8,12,10,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999
