original_column,merged_column,Site_ID,final_column,rename_type
HJW_29_SIR-1_p1,HJW_29,65,HJA_65_2025,HJW replicate group mapped to HJA 2025 sample
HJW_29_SIR-2_p08,HJW_29,65,HJA_65_2025,HJW replicate group mapped to HJA 2025 sample
HJW_29_SIR-3_p12,HJW_29,65,HJA_65_2025,HJW replicate group mapped to HJA 2025 sample
HJW_30_SIR-1_p06,HJW_30,43,HJA_43_2025,HJW replicate group mapped to HJA 2025 sample
HJW_30_SIR-2_p14,HJW_30,43,HJA_43_2025,HJW replicate group mapped to HJA 2025 sample
HJW_30_SIR-3_p16,HJW_30,43,HJA_43_2025,HJW replicate group mapped to HJA 2025 sample
HJW_31_SIR-1_p08,HJW_31,170,HJA_170_2025,HJW replicate group mapped to HJA 2025 sample
HJW_31_SIR-2_p1,HJW_31,170,HJA_170_2025,HJW replicate group mapped to HJA 2025 sample
HJW_31_SIR-3_p1,HJW_31,170,HJA_170_2025,HJW replicate group mapped to HJA 2025 sample
HJW_32_SIR-1_p16,HJW_32,165,HJA_165_2025,HJW replicate group mapped to HJA 2025 sample
HJW_32_SIR-2_p1,HJW_32,165,HJA_165_2025,HJW replicate group mapped to HJA 2025 sample
HJW_32_SIR-3_p12,HJW_32,165,HJA_165_2025,HJW replicate group mapped to HJA 2025 sample
HJW_33_SIR-1_p08,HJW_33,KC-1,HJA_KC-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_33_SIR-2_p12,HJW_33,KC-1,HJA_KC-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_33_SIR-3_p12,HJW_33,KC-1,HJA_KC-1_2025,HJW replicate group mapped to HJA 2025 sample
HJW_34_SIR-1_p12,HJW_34,KC-2,HJA_KC-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_34_SIR-2_p1,HJW_34,KC-2,HJA_KC-2_2025,HJW replicate group mapped to HJA 2025 sample
HJW_35_SIR-1_p14,HJW_35,KC-3,HJA_KC-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_35_SIR-2_p14,HJW_35,KC-3,HJA_KC-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_35_SIR-3_p1,HJW_35,KC-3,HJA_KC-3_2025,HJW replicate group mapped to HJA 2025 sample
HJW_36_SIR-1_p2,HJW_36,72,HJA_72_2025,HJW replicate group mapped to HJA 2025 sample
HJW_36_SIR-2_p18,HJW_36,72,HJA_72_2025,HJW replicate group mapped to HJA 2025 sample
HJW_36_SIR-3_p15,HJW_36,72,HJA_72_2025,HJW replicate group mapped to HJA 2025 sample
HJW_37_SIR-1_p08,HJW_37,73,HJA_73_2025,HJW replicate group mapped to HJA 2025 sample
HJW_37_SIR-2_p1,HJW_37,73,HJA_73_2025,HJW replicate group mapped to HJA 2025 sample
HJW_37_SIR-3_p1,HJW_37,73,HJA_73_2025,HJW replicate group mapped to HJA 2025 sample
HJW_38_SIR-1_p12,HJW_38,55,HJA_55_2025,HJW replicate group mapped to HJA 2025 sample
HJW_38_SIR-2_p08,HJW_38,55,HJA_55_2025,HJW replicate group mapped to HJA 2025 sample
HJW_38_SIR-3_p1,HJW_38,55,HJA_55_2025,HJW replicate group mapped to HJA 2025 sample
HJW_39_SIR-1_p1,HJW_39,162,HJA_162_2025,HJW replicate group mapped to HJA 2025 sample
HJW_39_SIR-2_p04,HJW_39,162,HJA_162_2025,HJW replicate group mapped to HJA 2025 sample
HJW_39_SIR-3_p12,HJW_39,162,HJA_162_2025,HJW replicate group mapped to HJA 2025 sample
HJW_40_SIR-1_p08,HJW_40,192,HJA_192_2025,HJW replicate group mapped to HJA 2025 sample
HJW_40_SIR-2_p1,HJW_40,192,HJA_192_2025,HJW replicate group mapped to HJA 2025 sample
HJW_40_SIR-3_p13,HJW_40,192,HJA_192_2025,HJW replicate group mapped to HJA 2025 sample
HJW_41_SIR-1_p15,HJW_41,WS1-4,HJA_WS1-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_41_SIR-2_p12,HJW_41,WS1-4,HJA_WS1-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_41_SIR-3_p1,HJW_41,WS1-4,HJA_WS1-4_2025,HJW replicate group mapped to HJA 2025 sample
HJW_42_SIR-1_p06,HJW_42,60,HJA_60_2025,HJW replicate group mapped to HJA 2025 sample
HJW_42_SIR-2_p12,HJW_42,60,HJA_60_2025,HJW replicate group mapped to HJA 2025 sample
HJW_42_SIR-3_p12,HJW_42,60,HJA_60_2025,HJW replicate group mapped to HJA 2025 sample
HJW_43_SIR-1_p06,HJW_43,169,HJA_169_2025,HJW replicate group mapped to HJA 2025 sample
HJW_43_SIR-3_p14,HJW_43,169,HJA_169_2025,HJW replicate group mapped to HJA 2025 sample
HJW_44_SIR-1_p3,HJW_44,58,HJA_58_2025,HJW replicate group mapped to HJA 2025 sample
HJW_44_SIR-2_p08,HJW_44,58,HJA_58_2025,HJW replicate group mapped to HJA 2025 sample
HJW_44_SIR-3_p14,HJW_44,58,HJA_58_2025,HJW replicate group mapped to HJA 2025 sample
HJW_45_SIR-1_p12,HJW_45,155,HJA_155_2025,HJW replicate group mapped to HJA 2025 sample
HJW_45_SIR-2_p1,HJW_45,155,HJA_155_2025,HJW replicate group mapped to HJA 2025 sample
HJW_45_SIR-3_p1,HJW_45,155,HJA_155_2025,HJW replicate group mapped to HJA 2025 sample
HJW_46_SIR-1_p08,HJW_46,74,HJA_74_2025,HJW replicate group mapped to HJA 2025 sample
HJW_46_SIR-2_p1,HJW_46,74,HJA_74_2025,HJW replicate group mapped to HJA 2025 sample
HJW_46_SIR-3_p13,HJW_46,74,HJA_74_2025,HJW replicate group mapped to HJA 2025 sample
HJW_47_SIR-1_p12,HJW_47,190,HJA_190_2025,HJW replicate group mapped to HJA 2025 sample
HJW_47_SIR-2_p16,HJW_47,190,HJA_190_2025,HJW replicate group mapped to HJA 2025 sample
HJW_47_SIR-3_p1,HJW_47,190,HJA_190_2025,HJW replicate group mapped to HJA 2025 sample
HJW_48_SIR-1_p15,HJW_48,67,HJA_67_2025,HJW replicate group mapped to HJA 2025 sample
HJW_48_SIR-2_p13,HJW_48,67,HJA_67_2025,HJW replicate group mapped to HJA 2025 sample
HJW_48_SIR-3_p16,HJW_48,67,HJA_67_2025,HJW replicate group mapped to HJA 2025 sample
