Calibrated m/z,HJW_MQ_Blk-1_p05,HJW_MQ_Blk-2_p05
329.07877253621,4712180,1526675.4
298.155856016668,1995542.1,697689.5
347.116705147006,4233517.5,762730.3
378.122605884485,13558511,1087399.5
379.16223594127,2634712.8,1333374.8
579.025093538392,6725985.5,8873651
353.136581306792,1873877.4,963944.3
369.131464093729,1099038.9,671376.3
449.105640954296,1012047.3,872241.7
501.066073825934,1895631.8,1404255.9
424.182352266736,3160641.8,3815842.3
379.179800319394,3832796.5,1979010.3
476.163360635024,11464091,11381148
347.237588578557,1054660.8,646270.3
439.241057628231,3229723,2078455.3
527.005959103337,4736496.5,2552418.3
351.044784074201,9081904,1771134.1
415.982290112284,904513.8,1368826.8
337.047524561321,2629629.5,967377.8
357.05358741485,1643258.9,821793.2
416.073959649437,1059925.5,2697744
363.099996581653,890364.6,686785.8
312.171521028796,8396883,3026760
381.131323663716,1577362.5,920984.4
533.118072633022,4803405.5,5560245.5
359.189871473784,1047866.9,1433895.1
503.118175282843,2852033.5,1560403
487.123136854999,2156411.3,1608669.5
518.128942130534,2036488.4,1403019
534.123399700951,6714758,3867117
550.118699986033,10338736,4660769
505.133727470855,8595630,5397823.5
520.144564318588,26165060,17927108
536.1393787463,2795006.8,1771107.8
504.149935608229,2140866.3,2138963.8
491.154145018,3322503,3183358
477.175310132997,826924,894520.8
520.969744758661,10076419,9594240
363.044789843545,5068272.5,2094583.3
550.116687018038,2267566.3,1035807.6
326.187157069817,12895050,3485484.5
393.131430277912,1555723,1086741.6
447.133452216114,9285678,4595164.5
539.136868012897,8513711,8019219
379.152300126929,2477526.3,1468028.6
395.146714094972,1383623.4,782091.1
395.164324270984,8161739,4119503
411.15923709753,1490745.8,815781
509.127034171082,2460310.5,2333990.3
449.14909855666,10043995,4022335
365.172947543224,1475004.8,784141.6
381.167911450153,1713562.6,739744.1
397.162372830055,2431360.8,950402.3
383.201199136186,5137251,2624458.5
366.222300667788,1148065.1,626776
603.172907563,3417971,2292394.5
468.971587412826,2117883.3,1137558.4
536.899626376275,100557744,1401620.4
442.971418677009,3409878,1603606.1
564.967763150592,4207926,2250226.3
317.063999311655,824851.1,686193.3
444.104914752546,777215.8,1131614.1
367.112404789635,6917475.5,1642756.8
369.110387710312,6355738,1527436.1
578.102958512953,1154282.8,1625647.3
340.203087399397,6792231,1885093.4
472.137651589682,4578187,2883415.3
375.157360558988,4405336,1918791.9
391.152290452637,4642388.5,2566250
407.146666011488,1511651.1,845980.2
377.172880680345,199232032,101236968
393.167881928858,22685716,12152350
409.162761552021,3962256.3,2341344.8
393.185630609201,3191319,1334561.4
425.15769215137,2052379.5,971154.4
379.188655122997,1454558.5,795396.1
395.18307266341,2645455.3,1744595.1
411.17797009117,2460477.8,1365929.3
427.173249933384,2322658,1592456.5
537.205452729829,9180254,1326786.6
381.204251905007,15633827,7664679.5
413.194029292874,1379820,796533.9
429.188664707088,1268142.8,866694.2
401.20040274239,903915.4,2062070.4
517.170266200059,1800967.9,1252236.4
580.165512226061,2752626,1868755.1
535.180453667251,2960349.5,3072067.5
519.185569682,1594687.8,1543616.3
480.971044128047,5623093,5189992.5
548.971374709299,6928136,2734966.8
562.970896095504,12329035,5968120.5
347.075075763133,985509.3,788579.4
403.15198568657,1174670.3,722084.5
389.172575860847,874011.9,694976.3
405.167940640762,1407805.1,1121891
421.162504932389,1163942.3,1187524.6
391.18862782518,9836124,4968562
407.183435095316,3044330.8,2111524.3
423.177920164217,1873762.5,1314988.6
439.17319963557,1959946,1076452.4
423.196198363509,1944934.5,1344688.9
455.167998905706,1072175.1,807594.3
409.199191819824,2716056,4621289
425.194040147439,1692451.6,2076315.4
441.188821417577,1326857.1,2248985.5
457.183898723503,997014.2,1847873.6
395.2199302867,1955799.4,1173211
411.21488332747,870853.5,863857.5
427.209732920034,705514.3,914065.6
443.204528199575,822291.1,2067289.3
427.227265350736,1500142.4,923798
556.960191779816,2433475.8,2784846.8
540.97498862554,5950672,5035316
576.966462810722,19014630,16855324
542.980822544037,2361687,998588.5
562.987171571006,344137824,161225984
578.981745537197,11704644,2747028.3
420.037101127025,2356912,1458102.9
373.101382165294,7888526,793127.5
363.153919583141,1984008.1,1059852
379.166562523186,6542297.5,3041407.5
339.196648038797,3173748,860430.1
417.167845015485,9653313,5503760
433.162670943819,1886287.5,1307531.5
433.180540423706,1441875.8,787856.1
449.175234952898,1592930.8,1074247
611.157490424831,1665369.3,3408254.5
419.183554797483,2208246,974571.6
435.177989237334,1856562.4,1253026.9
451.191076278783,1512094,1109174.1
405.204344642058,1301060.9,797291
421.199044579504,6739886,3744461.3
437.193783823229,2814494,1318083.8
421.216918577571,17416114,2084049.6
453.189142302307,2110178,1215020.6
437.211719847707,9258530,5349064.5
469.183957247943,2012488.1,907750.6
485.196550022688,1175603.1,818568.5
439.209623631631,1887763.1,1066734.5
455.204113041192,2821434,808886.2
471.199599460021,3187244,924138.4
425.230413143505,4469548,2674340.5
441.243011411717,9808407,5248808.5
545.201004015455,2093666.1,1790665.9
444.958044031104,1832418.3,3789655.3
522.99070311808,1964366.6,1982919.9
526.973963343993,19795424,9632337
394.995763764078,3849638,2565546.3
521.987028404579,32957228,31104934
565.987334178719,14137278,6739074.5
540.989789605243,160951520,137488704
603.984786226957,2808323.8,1303377.9
476.966346618031,1782488.8,1112803
541.98554951658,2214167,1866107.6
377.169644600486,19819034,9572579
591.076642444211,1517805,2104072.3
381.20040008099,1555874,847398.9
431.183627087175,4124797.3,2160262.5
447.178238228451,5169210,3309034
463.173340004703,1200923.5,977482.8
417.204154011558,1728329.1,952856.5
433.198571070619,2847320.3,1976981.1
449.193754443168,3917416,3248204.8
465.188995071287,1714630.5,1232925.8
