original_column,parent_sample,final_column,year,n_technical_replicates
HJW_28_SIR-1_p12,HJW_28,HJA_WS3-5_2025,2025,3
HJW_28_SIR-2_p12,HJW_28,HJA_WS3-5_2025,2025,3
HJW_28_SIR-3_p06,HJW_28,HJA_WS3-5_2025,2025,3
HJW_29_SIR-1_p1,HJW_29,HJA_65_2025,2025,3
HJW_29_SIR-2_p08,HJW_29,HJA_65_2025,2025,3
HJW_29_SIR-3_p12,HJW_29,HJA_65_2025,2025,3
HJW_30_SIR-1_p06,HJW_30,HJA_43_2025,2025,3
HJW_30_SIR-2_p14,HJW_30,HJA_43_2025,2025,3
HJW_30_SIR-3_p16,HJW_30,HJA_43_2025,2025,3
HJW_31_SIR-1_p08,HJW_31,HJA_170_2025,2025,3
HJW_31_SIR-2_p1,HJW_31,HJA_170_2025,2025,3
HJW_31_SIR-3_p1,HJW_31,HJA_170_2025,2025,3
HJW_32_SIR-1_p16,HJW_32,HJA_165_2025,2025,3
HJW_32_SIR-2_p1,HJW_32,HJA_165_2025,2025,3
HJW_32_SIR-3_p12,HJW_32,HJA_165_2025,2025,3
HJW_33_SIR-1_p08,HJW_33,HJA_KC-1_2025,2025,3
HJW_33_SIR-2_p12,HJW_33,HJA_KC-1_2025,2025,3
HJW_33_SIR-3_p12,HJW_33,HJA_KC-1_2025,2025,3
HJW_34_SIR-1_p12,HJW_34,HJA_KC-2_2025,2025,2
HJW_34_SIR-2_p1,HJW_34,HJA_KC-2_2025,2025,2
HJW_35_SIR-1_p14,HJW_35,HJA_KC-3_2025,2025,3
HJW_35_SIR-2_p14,HJW_35,HJA_KC-3_2025,2025,3
HJW_35_SIR-3_p1,HJW_35,HJA_KC-3_2025,2025,3
HJW_36_SIR-1_p2,HJW_36,HJA_72_2025,2025,3
HJW_36_SIR-2_p18,HJW_36,HJA_72_2025,2025,3
HJW_36_SIR-3_p15,HJW_36,HJA_72_2025,2025,3
HJW_37_SIR-1_p08,HJW_37,HJA_73_2025,2025,3
HJW_37_SIR-2_p1,HJW_37,HJA_73_2025,2025,3
HJW_37_SIR-3_p1,HJW_37,HJA_73_2025,2025,3
HJW_38_SIR-1_p12,HJW_38,HJA_55_2025,2025,3
HJW_38_SIR-2_p08,HJW_38,HJA_55_2025,2025,3
HJW_38_SIR-3_p1,HJW_38,HJA_55_2025,2025,3
HJW_39_SIR-1_p1,HJW_39,HJA_162_2025,2025,3
HJW_39_SIR-2_p04,HJW_39,HJA_162_2025,2025,3
HJW_39_SIR-3_p12,HJW_39,HJA_162_2025,2025,3
HJW_40_SIR-1_p08,HJW_40,HJA_192_2025,2025,3
HJW_40_SIR-2_p1,HJW_40,HJA_192_2025,2025,3
HJW_40_SIR-3_p13,HJW_40,HJA_192_2025,2025,3
HJW_41_SIR-1_p15,HJW_41,HJA_WS1-4_2025,2025,3
HJW_41_SIR-2_p12,HJW_41,HJA_WS1-4_2025,2025,3
HJW_41_SIR-3_p1,HJW_41,HJA_WS1-4_2025,2025,3
HJW_42_SIR-1_p06,HJW_42,HJA_60_2025,2025,3
HJW_42_SIR-2_p12,HJW_42,HJA_60_2025,2025,3
HJW_42_SIR-3_p12,HJW_42,HJA_60_2025,2025,3
HJW_43_SIR-1_p06,HJW_43,HJA_169_2025,2025,2
HJW_43_SIR-3_p14,HJW_43,HJA_169_2025,2025,2
HJW_44_SIR-1_p3,HJW_44,HJA_58_2025,2025,3
HJW_44_SIR-2_p08,HJW_44,HJA_58_2025,2025,3
HJW_44_SIR-3_p14,HJW_44,HJA_58_2025,2025,3
HJW_45_SIR-1_p12,HJW_45,HJA_155_2025,2025,3
HJW_45_SIR-2_p1,HJW_45,HJA_155_2025,2025,3
HJW_45_SIR-3_p1,HJW_45,HJA_155_2025,2025,3
HJW_46_SIR-1_p08,HJW_46,HJA_74_2025,2025,3
HJW_46_SIR-2_p1,HJW_46,HJA_74_2025,2025,3
HJW_46_SIR-3_p13,HJW_46,HJA_74_2025,2025,3
HJW_47_SIR-1_p12,HJW_47,HJA_190_2025,2025,3
HJW_47_SIR-2_p16,HJW_47,HJA_190_2025,2025,3
HJW_47_SIR-3_p1,HJW_47,HJA_190_2025,2025,3
HJW_48_SIR-1_p15,HJW_48,HJA_67_2025,2025,3
HJW_48_SIR-2_p13,HJW_48,HJA_67_2025,2025,3
HJW_48_SIR-3_p16,HJW_48,HJA_67_2025,2025,3
