Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm),MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
263.116855352,10,21,4,2,-9999,1,C10H21O4N2P1,0,N2 P1 O4,263.11661771,0.903180588,C10H21O4N2P,0.999200159968006,0.999200319872051,2,-2,9994,57088.8,262.823056720737,0.176943279262844,-2001,0.4,2.1,0.2,0.1,2,Other,Protein,Protein,57088.8,16891.2382003107,-0.0995113839745216,-0.0993591219959231,570888,168912.382003107
235.110655494,10,21,4,-9999,-9999,1,C10H21O4P1,0,P1 O4,235.110469701,0.790234533,C10H21O4P,0.749612558116283,0.749637590602349,-4998.5,-5002.5,14994.5,142597.35,234.848128835694,0.151871164305618,-5001.3,0.4,2.1,-999.9,0.1,-9999,Other,Protein,Lipid,142597.35,-57431.566757921,-0.0998042390999811,-0.0997974832257294,1425973.5,-574315.66757921
307.117534559,10,21,5,4,-9999,1,C10H21O5N4P1,0,N4 P1 O5,307.117680338,-0.474669029,C10H21O5N4P,0.999299929992999,0.999300104984252,3,-2,9992,57066,306.774604376251,0.225395623749193,-2000.2,0.5,2.1,0.4,0.1,4,Other,Protein,Protein,57066,16908.392043666,-0.0995111889931335,-0.0993587633576341,570660,169083.92043666
251.105631763,10,21,5,-9999,-9999,1,C10H21O5P1,0,P1 O5,251.105384321,0.985412517,C10H21O5P,0.749600039996,0.749631332950086,-4998.5,-5003.5,14993.5,142591.65,250.8252449713,0.174755028700076,-5001.1,0.5,2.1,-999.9,0.1,-9999,Other,Protein,Lipid,142591.65,-57429.27598925,-0.0998042312784147,-0.0997974751350564,1425916.5,-574292.7598925
283.077174487,10,21,5,-9999,1,1,C10H21O5P1S1,0,S1 P1 O5,283.077455495,-0.992688894,C10H21O5SP,0.499250149970006,0.499375281123494,-4998.5,-5003.5,4993.5,85591.65,282.761087985074,0.2389120149262,-3001.1,0.5,2.1,-999.9,0.1,-9999,Other,Protein,Lipid,85591.65,-74475.4326340276,-0.0996739649968281,-0.0997044270619124,855916.5,-744754.326340276
295.106740754,10,21,6,2,-9999,1,C10H21O6N2P1,0,N2 P1 O6,295.106446949,0.995589748,C10H21O6N2P,0.9992,0.999200239928022,2,-4,9992,57077.4,294.777221930913,0.222778069087099,-2000.6,0.6,2.1,0.2,0.1,2,Other,Amino Sugar,Protein,57077.4,16895.8197376528,-0.0995112865032754,-0.0993589599135292,570774,168958.197376528
267.100435092,10,21,6,-9999,-9999,1,C10H21O6P1,0,P1 O6,267.10029894,0.509739234,C10H21O6P,0.749587520623969,0.749625074985003,-4998.5,-5004.5,14992.5,142585.95,266.802188360012,0.197811639988174,-5000.9,0.6,2.1,-999.9,0.1,-9999,Other,Amino Sugar,Lipid,142585.95,-57426.985220579,-0.0998042234562232,-0.099797467043737,1425859.5,-574269.85220579
339.107776139,10,21,7,4,-9999,1,C10H21O7N4P1,0,N4 P1 O7,339.107509578,0.78606662,C10H21O7N4P,0.999299789936981,0.99930003499825,3,-4,9990,57054.6,338.729125366715,0.270874633284961,-1999.8,0.7,2.1,0.4,0.1,4,Carbohydrate,Amino Sugar,Protein,57054.6,16912.973581008,-0.0995110914440725,-0.0993586010937622,570546,169129.73581008
283.095444265,10,21,7,-9999,-9999,1,C10H21O7P1,0,P1 O7,283.09521356,0.814937964,C10H21O7P,0.749575,0.749618816707076,-4998.5,-5005.5,14991.5,142580.25,282.779337362877,0.220662637123496,-5000.7,0.7,2.1,-999.9,0.1,-9999,Carbohydrate,Amino Sugar,Other,142580.25,-57424.6944519079,-0.0998042156334065,-0.0997974589517711,1425802.5,-574246.944519079
355.102725354,10,21,8,4,-9999,1,C10H21O8N4P1,0,N4 P1 O8,355.102424197,0.848083477,C10H21O8N4P,0.999299719887955,0.9993,3,-5,9989,57048.9,354.706214478529,0.293785521470681,-1999.6,0.8,2.1,0.4,0.1,4,Carbohydrate,Carbohydrate,Protein,57048.9,16915.2643496791,-0.0995110426549401,-0.0993585199310269,570489,169152.643496791
299.090316589,10,21,8,-9999,-9999,1,C10H21O8P1,0,P1 O8,299.090128179,0.629940921,C10H21O8P,0.749562478123906,0.749612558116283,-4998.5,-5006.5,14990.5,142574.55,298.756349669548,0.243650330452056,-5000.5,0.8,2.1,-999.9,0.1,-9999,Carbohydrate,Carbohydrate,Other,142574.55,-57422.4036832368,-0.0998042078099647,-0.0997974508591584,1425745.5,-574224.036832368
343.091453135,10,21,9,2,-9999,1,C10H21O9N2P1,0,N2 P1 O9,343.091190808,0.764597911,C10H21O9N2P,0.999199759927978,0.999200119982003,2,-7,9989,57060.3,342.708354153393,0.291645846607196,-2000,0.9,2.1,0.2,0.1,2,Carbohydrate,Carbohydrate,Amino Sugar,57060.3,16902.692043666,-0.0995111402234693,-0.0993587166361608,570603,169026.92043666
371.097633211,10,21,9,4,-9999,1,C10H21O9N4P1,0,N4 P1 O9,371.097338817,0.793308374,C10H21O9N4P,0.999299649824912,0.99929996499825,3,-6,9988,57043.2,370.683262278524,0.316737721475647,-1999.4,0.9,2.1,0.4,0.1,4,Carbohydrate,Carbohydrate,Protein,57043.2,16917.5551183501,-0.0995109938560693,-0.0993584387477484,570432,169175.551183501
315.085170996,10,21,9,-9999,-9999,1,C10H21O9P1,0,P1 O9,315.085042799,0.406863979,C10H21O9P,0.7495499549955,0.749606299212598,-4998.5,-5007.5,14989.5,142568.85,314.733344079226,0.266655920774326,-5000.3,0.9,2.1,-999.9,0.1,-9999,Carbohydrate,Carbohydrate,Other,142568.85,-57420.1129145658,-0.0998041999858976,-0.0997974427658991,1425688.5,-574201.129145658
250.121536125,10,22,4,1,-9999,1,C10H22O4N1P1,0,N1 P1 O4,250.121368738,0.669224521,C10H22O4NP,0.999100269919024,0.999100449775112,1,-3,9994,57100.2,249.842248183281,0.157751816719184,-2001.4,0.4,2.2,0.1,0.1,1,Other,Protein,Lipid,57100.2,16882.6612786331,-0.0995114814068953,-0.0993593011646723,571002,168826.612786331
266.116432264,10,22,5,1,-9999,1,C10H22O5N1P1,0,N1 P1 O5,266.116283357,0.559553973,C10H22O5NP,0.999100179964007,0.999100404817832,1,-4,9993,57094.5,265.81928427836,0.180715721639729,-2001.2,0.5,2.2,0.1,0.1,1,Other,Protein,Lipid,57094.5,16884.9520473042,-0.0995114326955661,-0.0993592201790257,570945,168849.520473042
294.122649197,10,22,5,3,-9999,1,C10H22O5N3P1,0,N3 P1 O5,294.122431366,0.740613413,C10H22O5N3P,0.9992,0.999200199950013,2,-3,9992,57077.4,293.794229219337,0.205770780663045,-2000.6,0.5,2.2,0.3,0.1,3,Other,Protein,Protein,57077.4,16899.8151219883,-0.0995112865032754,-0.0993589427269385,570774,168998.151219883
342.107430523,10,22,8,3,-9999,1,C10H22O8N3P1,0,N3 P1 O8,342.107175225,0.746250188,C10H22O8N3P,0.999199759927978,0.999200079992001,2,-6,9989,57060.3,341.725430309832,0.274569690167766,-2000,0.8,2.2,0.3,0.1,3,Other,Carbohydrate,Protein,57060.3,16906.6874280015,-0.0995111402234693,-0.0993586994365227,570603,169066.874280015
265.132523527,10,23,4,2,-9999,1,C10H23O4N2P1,0,N2 P1 O4,265.132267775,0.964620381,C10H23O4N2P,0.999100179964007,0.999100359856058,1,-3,9993,57094.5,264.836474182646,0.163525817354184,-2001.2,0.4,2.3,0.2,0.1,2,Other,Protein,Protein,57094.5,16888.9474316397,-0.0995114326955661,-0.099359203006388,570945,168889.474316397
297.104291317,10,23,4,2,1,1,C10H23O4N2P1S1,0,N2 S1 P1 O4,297.104338949,-0.160320624,C10H23O4N2SP,0,0,1,-3,-7,94.5,296.772542011109,0.22745798889099,-1.2,0.4,2.3,0.2,0.1,2,Other,Protein,Protein,94.5,-157.209213137901,0.0698385563061724,0.062575407463814,945,-1572.09213137901
237.126329898,10,23,4,-9999,-9999,1,C10H23O4P1,0,P1 O4,237.126119766,0.886162804,C10H23O4P,0.749562565615158,0.749587603099225,-4999.5,-5003.5,14993.5,142603.05,236.861552519648,0.13844748035234,-5001.5,0.4,2.3,-999.9,0.1,-9999,Other,Protein,Lipid,142603.05,-57433.8575265921,-0.0998042469209226,-0.0997974913157559,1426030.5,-574338.575265921
313.099563642,10,23,5,2,1,1,C10H23O5N2P1S1,0,N2 S1 P1 O5,313.099253568,0.99033752,C10H23O5N2SP,0,0,1,-4,-8,88.8,312.749953872136,0.250046127864209,-1,0.5,2.3,0.2,0.1,2,Other,Protein,Protein,88.8,-154.918444466857,0.0759369845319426,0.0679619622767747,888,-1549.18444466857
317.065139015,10,23,5,-9999,2,1,C10H23O5P1S2,0,S2 P1 O5,317.065176734,-0.118964349,C10H23O5S2P,0.499100089991001,0.499225271155096,-4999.5,-5004.5,4991.5,85591.65,316.711101248247,0.288898751752527,-3001.1,0.5,2.3,-999.9,0.1,-9999,Other,Protein,Lipid,85591.65,-74479.4280183631,-0.0996739649968281,-0.0997044307156023,855916.5,-744794.280183631
