Calibrated m/z,C,H,O,N,S,P,Molecular Formula,Is Isotopologue,Heteroatom Class,Calculated m/z,m/z Error (ppm)
230.103489942985,10,17,5,1,NA,NA,C10H17O5N1,0,N1 O5,230.103396197869,0.407404311949244
247.074274039,10,17,5,-9999,-9999,1,C10H17O5P1,0,P1 O5,247.074084192,0.768382882
263.069152687,10,17,6,-9999,-9999,1,C10H17O6P1,0,P1 O6,263.068998811,0.584926234
307.070292577,10,17,7,2,-9999,1,C10H17O7N2P1,0,N2 P1 O7,307.07006144,0.752718291
279.064152221,10,17,7,-9999,-9999,1,C10H17O7P1,0,P1 O7,279.063913431,0.855683368
278.088085391378,10,17,8,1,NA,NA,C10H17O8N1,0,N1 O8,278.088140056579,-0.196575090622563
295.059110065,10,17,8,-9999,-9999,1,C10H17O8P1,0,P1 O8,295.058828051,0.955791798
339.060106107,10,17,9,2,-9999,1,C10H17O9N2P1,0,N2 P1 O9,339.059890679,0.635369393
311.054040761,10,17,9,-9999,-9999,1,C10H17O9P1,0,P1 O9,311.05374267,0.958327218
217.072505442907,10,18,1,NA,2,NA,C10H18O1S2,0,S2 O1,217.072631096189,-0.578853635666706
201.11322112995,10,18,4,NA,NA,NA,C10H18O4,0,O4,201.113232606099,-0.057063123832921
265.057501655112,10,18,4,NA,2,NA,C10H18O4S2,0,S2 O4,265.057374954899,0.47801051740896
217.10815008425,10,18,5,NA,NA,NA,C10H18O5,0,O5,217.108147225669,0.013166620127921
245.114328806615,10,18,5,2,NA,NA,C10H18O5N2,0,N2 O5,245.114295234529,0.136965027126952
281.052484095309,10,18,5,NA,2,NA,C10H18O5S2,0,S2 O5,281.052289574469,0.692116191380195
233.103146097279,10,18,6,NA,NA,NA,C10H18O6,0,O6,233.103061845239,0.361436866229348
293.081547599066,10,18,6,2,1,NA,C10H18O6N2S1,0,N2 S1 O6,293.081281028499,0.909544839579586
309.075960025873,10,18,7,2,1,NA,C10H18O7N2S1,0,N2 S1 O7,309.076195648069,-0.762343394526521
281.069877354192,10,18,7,NA,1,NA,C10H18O7S1,0,S1 O7,281.070047639209,-0.605845476981808
297.06489567409,10,18,8,NA,1,NA,C10H18O8S1,0,S1 O8,297.064962258779,-0.224141846957666
309.093882030143,10,18,9,2,NA,NA,C10H18O9N2,0,N2 O9,309.093953712809,-0.231912222991002
313.05989426556,10,18,9,NA,1,NA,C10H18O9S1,0,S1 O9,313.059876878349,0.0555395709520117
406.011412118879,10,19,10,NA,2,1,C10H19O10P1S213C1,1,13C1 S2 P1 O10,406.011804538039,-0.96652155361279
184.134327950348,10,19,2,1,NA,NA,C10H19O2N1,0,N1 O2,184.134302403619,0.138739653685342
248.078428307084,10,19,2,1,2,NA,C10H19O2N1S2,0,N1 S2 O2,248.078444752419,-0.0662908650142445
200.129234520391,10,19,3,1,NA,NA,C10H19O3N1,0,N1 O3,200.129217023189,0.0874295217115104
280.068446547687,10,19,4,1,2,NA,C10H19O4N1S2,0,N1 S2 O4,280.068273991559,0.616121652887865
297.039064906152,10,19,4,NA,2,1,C10H19O4P1S2,0,S2 P1 O4,297.038961985549,0.346488563493283
309.067776492,10,19,5,2,1,1,C10H19O5N2P1S1,0,N2 S1 P1 O5,309.06795344,-0.572520539
249.089965016,10,19,5,-9999,-9999,1,C10H19O5P1,0,P1 O5,249.089734256,0.926410359
248.113931801331,10,19,6,1,NA,NA,C10H19O6N1,0,N1 O6,248.113960881899,-0.117206496597089
265.084892567,10,19,6,-9999,-9999,1,C10H19O6P1,0,P1 O6,265.084648876,0.919294065
341.058063646101,10,19,7,2,1,1,C10H19O7N2P1S1,0,N2 S1 P1 O7,341.057782678719,0.823811670329133
281.079737743,10,19,7,-9999,-9999,1,C10H19O7P1,0,P1 O7,281.079563495,0.619923076
294.083045105,10,19,7,-9999,-9999,1,C10H19O7P113C1,1,13C1 P1 O7,294.082918331,0.431085685
325.080759233,10,19,8,2,-9999,1,C10H19O8N2P1,0,N2 P1 O8,325.080626124,0.409465392
297.074615663,10,19,8,-9999,-9999,1,C10H19O8P1,0,P1 O8,297.074478115,0.463009397
329.046700281605,10,19,8,NA,1,1,C10H19O8P1S1,0,S1 P1 O8,329.046549289429,0.458877857218929
313.069592967,10,19,9,-9999,-9999,1,C10H19O9P1,0,P1 O9,313.069392735,0.639578436
219.08845873589,10,20,1,NA,2,NA,C10H20O1S2,0,S2 O1,219.088281160649,0.810519122363295
232.09157568316,10,20,1,NA,2,NA,C10H20O1S213C1,1,13C1 S2 O1,232.091635995719,-0.259865283995175
215.139992877432,10,20,3,2,NA,NA,C10H20O3N2,0,N2 O3,215.140116059849,-0.572568329416397
251.078294374797,10,20,3,NA,2,NA,C10H20O3S2,0,S2 O3,251.078110399789,0.732740132231401
267.073071451368,10,20,4,NA,2,NA,C10H20O4S2,0,S2 O4,267.073025019359,0.173855106414123
219.123813486691,10,20,5,NA,NA,NA,C10H20O5,0,O5,219.123797290129,0.0739151191011151
279.102245726532,10,20,5,2,1,NA,C10H20O5N2S1,0,N2 S1 O5,279.102016473389,0.821395507597983
251.09590292307,10,20,5,NA,1,NA,C10H20O5S1,0,S1 O5,251.095868464529,0.137232608993707
280.095782152,10,20,6,1,-9999,1,C10H20O6N1P1,0,N1 P1 O6,280.095547913,0.836284594
344.039941062019,10,20,6,1,2,1,C10H20O6N1P1S2,0,N1 S2 P1 O6,344.039690261349,0.728987604390619
263.125091077372,10,20,6,2,NA,NA,C10H20O6N2,0,N2 O6,263.124859918559,0.878513771672562
295.097172994636,10,20,6,2,1,NA,C10H20O6N2S1,0,N2 S1 O6,295.096931092959,0.81973633710222
311.09158795135,10,20,7,2,1,NA,C10H20O7N2S1,0,N2 S1 O7,311.091845712529,-0.828569384464365
343.063744702169,10,20,7,2,2,NA,C10H20O7N2S2,0,N2 S2 O7,343.063916886929,-0.501902858446472
327.086741547311,10,20,8,2,1,NA,C10H20O8N2S1,0,N2 S1 O8,327.086760332099,-0.0574305965073265
299.08058864096,10,20,8,NA,1,NA,C10H20O8S1,0,S1 O8,299.080612323239,-0.079183598817643
311.109321510353,10,20,9,2,NA,NA,C10H20O9N2,0,N2 O9,311.109603777269,-0.907290913284121
315.075511016556,10,20,9,NA,1,NA,C10H20O9S1,0,S1 O9,315.075526942809,-0.0505474133587038
266.089125945031,10,21,3,1,2,NA,C10H21O3N1S2,0,N1 S2 O3,266.089009436449,0.43785567285571
263.116855352,10,21,4,2,-9999,1,C10H21O4N2P1,0,N2 P1 O4,263.11661771,0.903180588
235.110655494,10,21,4,-9999,-9999,1,C10H21O4P1,0,P1 O4,235.110469701,0.790234533
248.113884178505,10,21,4,NA,NA,1,C10H21O4P113C1,1,13C1 P1 O4,248.113824536279,0.240382516853017
262.140789696503,10,21,5,3,NA,NA,C10H21O5N3,0,N3 O5,262.140844335649,-0.208434311962499
251.105631763,10,21,5,-9999,-9999,1,C10H21O5P1,0,P1 O5,251.105384321,0.985412517
283.077174487,10,21,5,-9999,1,1,C10H21O5P1S1,0,S1 P1 O5,283.077455495,-0.992688894
295.106740754,10,21,6,2,-9999,1,C10H21O6N2P1,0,N2 P1 O6,295.106446949,0.995589748
267.100435092,10,21,6,-9999,-9999,1,C10H21O6P1,0,P1 O6,267.10029894,0.509739234
280.103854552,10,21,6,-9999,-9999,1,C10H21O6P113C1,1,13C1 P1 O6,280.103653775,0.716794262
283.095444265,10,21,7,-9999,-9999,1,C10H21O7P1,0,P1 O7,283.09521356,0.814937964
296.098797278,10,21,7,-9999,-9999,1,C10H21O7P113C1,1,13C1 P1 O7,296.098568395,0.772995709
299.090316589,10,21,8,-9999,-9999,1,C10H21O8P1,0,P1 O8,299.090128179,0.629940921
312.093590375,10,21,8,-9999,-9999,1,C10H21O8P113C1,1,13C1 P1 O8,312.093483015,0.344000282
343.091453135,10,21,9,2,-9999,1,C10H21O9N2P1,0,N2 P1 O9,343.091190808,0.764597911
358.092491387747,10,21,9,3,1,NA,C10H21O9N3S1,0,N3 S1 O9,358.092573988329,-0.230668236576206
315.085170996,10,21,9,-9999,-9999,1,C10H21O9P1,0,P1 O9,315.085042799,0.406863979
250.121536125,10,22,4,1,-9999,1,C10H22O4N1P1,0,N1 P1 O4,250.121368738,0.669224521
266.116432264,10,22,5,1,-9999,1,C10H22O5N1P1,0,N1 P1 O5,266.116283357,0.559553973
281.117847122121,10,22,5,2,1,NA,C10H22O5N2S1,0,N2 S1 O5,281.117666537849,0.64237966424287
294.122649197,10,22,5,3,-9999,1,C10H22O5N3P1,0,N3 P1 O5,294.122431366,0.740613413
253.11137054739,10,22,5,NA,1,NA,C10H22O5S1,0,S1 O5,253.111518528989,-0.58464980219449
285.083340368252,10,22,5,NA,2,NA,C10H22O5S2,0,S2 O5,285.083589703389,-0.874603611126988
