Calibrated m/z,Molecular Formula,MolForm,molecular_formula_clean,molform_clean,exact_match,whitespace_normalized_match
577.216858656,C24H39O12N2P1,C24H39O12N2P,C24H39O12N2P1,C24H39O12N2P,FALSE,FALSE
609.188890979,C24H39O12N2P1S1,C24H39O12N2SP,C24H39O12N2P1S1,C24H39O12N2SP,FALSE,FALSE
605.223447831,C24H39O12N4P1,C24H39O12N4P,C24H39O12N4P1,C24H39O12N4P,FALSE,FALSE
549.211002641,C24H39O12P1,C24H39O12P,C24H39O12P1,C24H39O12P,FALSE,FALSE
593.212167369,C24H39O13N2P1,C24H39O13N2P,C24H39O13N2P1,C24H39O13N2P,FALSE,FALSE
625.183963247,C24H39O13N2P1S1,C24H39O13N2SP,C24H39O13N2P1S1,C24H39O13N2SP,FALSE,FALSE
565.205525461,C24H39O13P1,C24H39O13P,C24H39O13P1,C24H39O13P,FALSE,FALSE
645.144553804,C24H39O14P1S2,C24H39O14S2P,C24H39O14P1S2,C24H39O14S2P,FALSE,FALSE
597.195516889,C24H39O15P1,C24H39O15P,C24H39O15P1,C24H39O15P,FALSE,FALSE
661.139297934,C24H39O15P1S2,C24H39O15S2P,C24H39O15P1S2,C24H39O15S2P,FALSE,FALSE
701.192572657,C24H39O18N4P1,C24H39O18N4P,C24H39O18N4P1,C24H39O18N4P,FALSE,FALSE
717.187501953,C24H39O19N4P1,C24H39O19N4P,C24H39O19N4P1,C24H39O19N4P,FALSE,FALSE
705.176006574,C24H39O20N2P1,C24H39O20N2P,C24H39O20N2P1,C24H39O20N2P,FALSE,FALSE
481.229137197,C24H39O4N2P1S1,C24H39O4N2SP,C24H39O4N2P1S1,C24H39O4N2SP,FALSE,FALSE
477.263396448,C24H39O4N4P1,C24H39O4N4P,C24H39O4N4P1,C24H39O4N4P,FALSE,FALSE
453.222974294,C24H39O4P1S1,C24H39O4SP,C24H39O4P1S1,C24H39O4SP,FALSE,FALSE
485.195369728,C24H39O4P1S2,C24H39O4S2P,C24H39O4P1S2,C24H39O4S2P,FALSE,FALSE
465.252743632,C24H39O5N2P1,C24H39O5N2P,C24H39O5N2P1,C24H39O5N2P,FALSE,FALSE
497.224414252,C24H39O5N2P1S1,C24H39O5N2SP,C24H39O5N2P1S1,C24H39O5N2SP,FALSE,FALSE
493.258272471,C24H39O5N4P1,C24H39O5N4P,C24H39O5N4P1,C24H39O5N4P,FALSE,FALSE
469.218013362,C24H39O5P1S1,C24H39O5SP,C24H39O5P1S1,C24H39O5SP,FALSE,FALSE
501.190295824,C24H39O5P1S2,C24H39O5S2P,C24H39O5P1S2,C24H39O5S2P,FALSE,FALSE
481.246854942,C24H39O6N2P1,C24H39O6N2P,C24H39O6N2P1,C24H39O6N2P,FALSE,FALSE
509.253292625,C24H39O6N4P1,C24H39O6N4P,C24H39O6N4P1,C24H39O6N4P,FALSE,FALSE
453.241584265,C24H39O6P1,C24H39O6P,C24H39O6P1,C24H39O6P,FALSE,FALSE
485.212850431,C24H39O6P1S1,C24H39O6SP,C24H39O6P1S1,C24H39O6SP,FALSE,FALSE
517.18516652,C24H39O6P1S2,C24H39O6S2P,C24H39O6P1S2,C24H39O6S2P,FALSE,FALSE
497.242288488,C24H39O7N2P1,C24H39O7N2P,C24H39O7N2P1,C24H39O7N2P,FALSE,FALSE
525.24814223,C24H39O7N4P1,C24H39O7N4P,C24H39O7N4P1,C24H39O7N4P,FALSE,FALSE
469.236252349,C24H39O7P1,C24H39O7P,C24H39O7P1,C24H39O7P,FALSE,FALSE
501.207687499,C24H39O7P1S1,C24H39O7SP,C24H39O7P1S1,C24H39O7SP,FALSE,FALSE
533.18025754,C24H39O7P1S2,C24H39O7S2P,C24H39O7P1S2,C24H39O7S2P,FALSE,FALSE
513.237237958,C24H39O8N2P1,C24H39O8N2P,C24H39O8N2P1,C24H39O8N2P,FALSE,FALSE
541.243403755,C24H39O8N4P1,C24H39O8N4P,C24H39O8N4P1,C24H39O8N4P,FALSE,FALSE
485.231411114,C24H39O8P1,C24H39O8P,C24H39O8P1,C24H39O8P,FALSE,FALSE
517.202560351,C24H39O8P1S1,C24H39O8SP,C24H39O8P1S1,C24H39O8SP,FALSE,FALSE
529.23158496,C24H39O9N2P1,C24H39O9N2P,C24H39O9N2P1,C24H39O9N2P,FALSE,FALSE
561.20373988,C24H39O9N2P1S1,C24H39O9N2SP,C24H39O9N2P1S1,C24H39O9N2SP,FALSE,FALSE
557.238047182,C24H39O9N4P1,C24H39O9N4P,C24H39O9N4P1,C24H39O9N4P,FALSE,FALSE
501.226259766,C24H39O9P1,C24H39O9P,C24H39O9P1,C24H39O9P,FALSE,FALSE
533.197740315,C24H39O9P1S1,C24H39O9SP,C24H39O9P1S1,C24H39O9SP,FALSE,FALSE
612.170358107,C24H40O11N1P1S2,C24H40O11NS2P,C24H40O11N1P1S2,C24H40O11NS2P,FALSE,FALSE
564.221217441,C24H40O12N1P1,C24H40O12NP,C24H40O12N1P1,C24H40O12NP,FALSE,FALSE
580.216336258,C24H40O13N1P1,C24H40O13NP,C24H40O13N1P1,C24H40O13NP,FALSE,FALSE
596.211027074,C24H40O14N1P1,C24H40O14NP,C24H40O14N1P1,C24H40O14NP,FALSE,FALSE
468.252252974,C24H40O6N1P1,C24H40O6NP,C24H40O6N1P1,C24H40O6NP,FALSE,FALSE
496.257702486,C24H40O6N3P1,C24H40O6N3P,C24H40O6N3P1,C24H40O6N3P,FALSE,FALSE
484.247274672,C24H40O7N1P1,C24H40O7NP,C24H40O7N1P1,C24H40O7NP,FALSE,FALSE
500.242222796,C24H40O8N1P1,C24H40O8NP,C24H40O8N1P1,C24H40O8NP,FALSE,FALSE
516.236587017,C24H40O9N1P1,C24H40O9NP,C24H40O9N1P1,C24H40O9NP,FALSE,FALSE
548.209100519,C24H40O9N1P1S1,C24H40O9NSP,C24H40O9N1P1S1,C24H40O9NSP,FALSE,FALSE
544.243354041,C24H40O9N3P1,C24H40O9N3P,C24H40O9N3P1,C24H40O9N3P,FALSE,FALSE
579.214704397,C24H41O10N2P1S1,C24H41O10N2SP,C24H41O10N2P1S1,C24H41O10N2SP,FALSE,FALSE
575.248768798,C24H41O10N4P1,C24H41O10N4P,C24H41O10N4P1,C24H41O10N4P,FALSE,FALSE
519.236878165,C24H41O10P1,C24H41O10P,C24H41O10P1,C24H41O10P,FALSE,FALSE
551.208525753,C24H41O10P1S1,C24H41O10SP,C24H41O10P1S1,C24H41O10SP,FALSE,FALSE
595.209457107,C24H41O11N2P1S1,C24H41O11N2SP,C24H41O11N2P1S1,C24H41O11N2SP,FALSE,FALSE
591.244058514,C24H41O11N4P1,C24H41O11N4P,C24H41O11N4P1,C24H41O11N4P,FALSE,FALSE
535.231567765,C24H41O11P1,C24H41O11P,C24H41O11P1,C24H41O11P,FALSE,FALSE
607.239046699,C24H41O12N4P1,C24H41O12N4P,C24H41O12N4P1,C24H41O12N4P,FALSE,FALSE
551.226439564,C24H41O12P1,C24H41O12P,C24H41O12P1,C24H41O12P,FALSE,FALSE
627.199462337,C24H41O13N2P1S1,C24H41O13N2SP,C24H41O13N2P1S1,C24H41O13N2SP,FALSE,FALSE
623.234035516,C24H41O13N4P1,C24H41O13N4P,C24H41O13N4P1,C24H41O13N4P,FALSE,FALSE
567.221580159,C24H41O13P1,C24H41O13P,C24H41O13P1,C24H41O13P,FALSE,FALSE
639.228808332,C24H41O14N4P1,C24H41O14N4P,C24H41O14N4P1,C24H41O14N4P,FALSE,FALSE
451.272748906,C24H41O4N2P1,C24H41O4N2P,C24H41O4N2P1,C24H41O4N2P,FALSE,FALSE
483.24481496,C24H41O4N2P1S1,C24H41O4N2SP,C24H41O4N2P1S1,C24H41O4N2SP,FALSE,FALSE
479.279719676,C24H41O4N4P1,C24H41O4N4P,C24H41O4N4P1,C24H41O4N4P,FALSE,FALSE
