Calibrated m/z,Molecular Formula,MolForm,molecular_formula_clean,molform_clean,exact_match,whitespace_normalized_match
399.132762183,C17H25O7N2P1,C17H25O7N2P,C17H25O7N2P1,C17H25O7N2P,FALSE,FALSE
431.104687813,C17H25O7N2P1S1,C17H25O7N2SP,C17H25O7N2P1S1,C17H25O7N2SP,FALSE,FALSE
427.139199937,C17H25O7N4P1,C17H25O7N4P,C17H25O7N4P1,C17H25O7N4P,FALSE,FALSE
371.126557724,C17H25O7P1,C17H25O7P,C17H25O7P1,C17H25O7P,FALSE,FALSE
435.070278264,C17H25O7P1S2,C17H25O7S2P,C17H25O7P1S2,C17H25O7S2P,FALSE,FALSE
415.127922451,C17H25O8N2P1,C17H25O8N2P,C17H25O8N2P1,C17H25O8N2P,FALSE,FALSE
447.099539912,C17H25O8N2P1S1,C17H25O8N2SP,C17H25O8N2P1S1,C17H25O8N2SP,FALSE,FALSE
443.133860207,C17H25O8N4P1,C17H25O8N4P,C17H25O8N4P1,C17H25O8N4P,FALSE,FALSE
387.121748586,C17H25O8P1,C17H25O8P,C17H25O8P1,C17H25O8P,FALSE,FALSE
451.065561805,C17H25O8P1S2,C17H25O8S2P,C17H25O8P1S2,C17H25O8S2P,FALSE,FALSE
431.122320124,C17H25O9N2P1,C17H25O9N2P,C17H25O9N2P1,C17H25O9N2P,FALSE,FALSE
459.129073663,C17H25O9N4P1,C17H25O9N4P,C17H25O9N4P1,C17H25O9N4P,FALSE,FALSE
403.116516759,C17H25O9P1,C17H25O9P,C17H25O9P1,C17H25O9P,FALSE,FALSE
467.060199276,C17H25O9P1S2,C17H25O9S2P,C17H25O9P1S2,C17H25O9S2P,FALSE,FALSE
466.111619732,C17H26O12N1P1,C17H26O12NP,C17H26O12N1P1,C17H26O12NP,FALSE,FALSE
482.106655612,C17H26O13N1P1,C17H26O13NP,C17H26O13N1P1,C17H26O13NP,FALSE,FALSE
542.103194499,C17H26O15N3P1,C17H26O15N3P,C17H26O15N3P1,C17H26O15N3P,FALSE,FALSE
370.124718262,C17H26O4N1P1S1,C17H26O4NSP,C17H26O4N1P1S1,C17H26O4NSP,FALSE,FALSE
382.153470922,C17H26O5N3P1,C17H26O5N3P,C17H26O5N3P1,C17H26O5N3P,FALSE,FALSE
398.148381661,C17H26O6N3P1,C17H26O6N3P,C17H26O6N3P1,C17H26O6N3P,FALSE,FALSE
414.143860131,C17H26O7N3P1,C17H26O7N3P,C17H26O7N3P1,C17H26O7N3P,FALSE,FALSE
477.139518821,C17H27O10N4P1,C17H27O10N4P,C17H27O10N4P1,C17H27O10N4P,FALSE,FALSE
421.127258379,C17H27O10P1,C17H27O10P,C17H27O10P1,C17H27O10P,FALSE,FALSE
485.071258433,C17H27O10P1S2,C17H27O10S2P,C17H27O10P1S2,C17H27O10S2P,FALSE,FALSE
465.128369764,C17H27O11N2P1,C17H27O11N2P,C17H27O11N2P1,C17H27O11N2P,FALSE,FALSE
497.099901897,C17H27O11N2P1S1,C17H27O11N2SP,C17H27O11N2P1S1,C17H27O11N2SP,FALSE,FALSE
493.134423177,C17H27O11N4P1,C17H27O11N4P,C17H27O11N4P1,C17H27O11N4P,FALSE,FALSE
437.122062694,C17H27O11P1,C17H27O11P,C17H27O11P1,C17H27O11P,FALSE,FALSE
501.066073826,C17H27O11P1S2,C17H27O11S2P,C17H27O11P1S2,C17H27O11S2P,FALSE,FALSE
513.095219931,C17H27O12N2P1S1,C17H27O12N2SP,C17H27O12N2P1S1,C17H27O12N2SP,FALSE,FALSE
509.129408392,C17H27O12N4P1,C17H27O12N4P,C17H27O12N4P1,C17H27O12N4P,FALSE,FALSE
453.117091771,C17H27O12P1,C17H27O12P,C17H27O12P1,C17H27O12P,FALSE,FALSE
497.118173814,C17H27O13N2P1,C17H27O13N2P,C17H27O13N2P1,C17H27O13N2P,FALSE,FALSE
529.089405879,C17H27O13N2P1S1,C17H27O13N2SP,C17H27O13N2P1S1,C17H27O13N2SP,FALSE,FALSE
525.124303891,C17H27O13N4P1,C17H27O13N4P,C17H27O13N4P1,C17H27O13N4P,FALSE,FALSE
533.055884416,C17H27O13P1S2,C17H27O13S2P,C17H27O13P1S2,C17H27O13S2P,FALSE,FALSE
513.113083055,C17H27O14N2P1,C17H27O14N2P,C17H27O14N2P1,C17H27O14N2P,FALSE,FALSE
545.085059196,C17H27O14N2P1S1,C17H27O14N2SP,C17H27O14N2P1S1,C17H27O14N2SP,FALSE,FALSE
541.119199247,C17H27O14N4P1,C17H27O14N4P,C17H27O14N4P1,C17H27O14N4P,FALSE,FALSE
529.10812595,C17H27O15N2P1,C17H27O15N2P,C17H27O15N2P1,C17H27O15N2P,FALSE,FALSE
533.073491029,C17H27O15P1S1,C17H27O15SP,C17H27O15P1S1,C17H27O15SP,FALSE,FALSE
573.108558886,C17H27O16N4P1,C17H27O16N4P,C17H27O16N4P1,C17H27O16N4P,FALSE,FALSE
549.068714868,C17H27O16P1S1,C17H27O16SP,C17H27O16P1S1,C17H27O16SP,FALSE,FALSE
353.163690051,C17H27O4N2P1,C17H27O4N2P,C17H27O4N2P1,C17H27O4N2P,FALSE,FALSE
385.135597977,C17H27O4N2P1S1,C17H27O4N2SP,C17H27O4N2P1S1,C17H27O4N2SP,FALSE,FALSE
381.169831133,C17H27O4N4P1,C17H27O4N4P,C17H27O4N4P1,C17H27O4N4P,FALSE,FALSE
325.15773028,C17H27O4P1,C17H27O4P,C17H27O4P1,C17H27O4P,FALSE,FALSE
389.101247253,C17H27O4P1S2,C17H27O4S2P,C17H27O4P1S2,C17H27O4S2P,FALSE,FALSE
369.158191042,C17H27O5N2P1,C17H27O5N2P,C17H27O5N2P1,C17H27O5N2P,FALSE,FALSE
397.164697798,C17H27O5N4P1,C17H27O5N4P,C17H27O5N4P1,C17H27O5N4P,FALSE,FALSE
341.152364491,C17H27O5P1,C17H27O5P,C17H27O5P1,C17H27O5P,FALSE,FALSE
405.096084622,C17H27O5P1S2,C17H27O5S2P,C17H27O5P1S2,C17H27O5S2P,FALSE,FALSE
385.15326631,C17H27O6N2P1,C17H27O6N2P,C17H27O6N2P1,C17H27O6N2P,FALSE,FALSE
417.125142669,C17H27O6N2P1S1,C17H27O6N2SP,C17H27O6N2P1S1,C17H27O6N2SP,FALSE,FALSE
413.159684463,C17H27O6N4P1,C17H27O6N4P,C17H27O6N4P1,C17H27O6N4P,FALSE,FALSE
357.147598697,C17H27O6P1,C17H27O6P,C17H27O6P1,C17H27O6P,FALSE,FALSE
389.119421398,C17H27O6P1S1,C17H27O6SP,C17H27O6P1S1,C17H27O6SP,FALSE,FALSE
401.148486578,C17H27O7N2P1,C17H27O7N2P,C17H27O7N2P1,C17H27O7N2P,FALSE,FALSE
433.120444564,C17H27O7N2P1S1,C17H27O7N2SP,C17H27O7N2P1S1,C17H27O7N2SP,FALSE,FALSE
429.154888719,C17H27O7N4P1,C17H27O7N4P,C17H27O7N4P1,C17H27O7N4P,FALSE,FALSE
373.142467902,C17H27O7P1,C17H27O7P,C17H27O7P1,C17H27O7P,FALSE,FALSE
437.086153801,C17H27O7P1S2,C17H27O7S2P,C17H27O7P1S2,C17H27O7S2P,FALSE,FALSE
417.143532846,C17H27O8N2P1,C17H27O8N2P,C17H27O8N2P1,C17H27O8N2P,FALSE,FALSE
449.114890794,C17H27O8N2P1S1,C17H27O8N2SP,C17H27O8N2P1S1,C17H27O8N2SP,FALSE,FALSE
445.149657954,C17H27O8N4P1,C17H27O8N4P,C17H27O8N4P1,C17H27O8N4P,FALSE,FALSE
389.137338061,C17H27O8P1,C17H27O8P,C17H27O8P1,C17H27O8P,FALSE,FALSE
453.080790785,C17H27O8P1S2,C17H27O8S2P,C17H27O8P1S2,C17H27O8S2P,FALSE,FALSE
433.137994586,C17H27O9N2P1,C17H27O9N2P,C17H27O9N2P1,C17H27O9N2P,FALSE,FALSE
465.110223782,C17H27O9N2P1S1,C17H27O9N2SP,C17H27O9N2P1S1,C17H27O9N2SP,FALSE,FALSE
461.144621887,C17H27O9N4P1,C17H27O9N4P,C17H27O9N4P1,C17H27O9N4P,FALSE,FALSE
405.132257612,C17H27O9P1,C17H27O9P,C17H27O9P1,C17H27O9P,FALSE,FALSE
452.132455472,C17H28O11N1P1,C17H28O11NP,C17H28O11N1P1,C17H28O11NP,FALSE,FALSE
468.127744289,C17H28O12N1P1,C17H28O12NP,C17H28O12N1P1,C17H28O12NP,FALSE,FALSE
484.122188532,C17H28O13N1P1,C17H28O13NP,C17H28O13N1P1,C17H28O13NP,FALSE,FALSE
532.107424261,C17H28O16N1P1,C17H28O16NP,C17H28O16N1P1,C17H28O16NP,FALSE,FALSE
356.162904101,C17H28O5N1P1,C17H28O5NP,C17H28O5N1P1,C17H28O5NP,FALSE,FALSE
384.169615534,C17H28O5N3P1,C17H28O5N3P,C17H28O5N3P1,C17H28O5N3P,FALSE,FALSE
372.157924099,C17H28O6N1P1,C17H28O6NP,C17H28O6N1P1,C17H28O6NP,FALSE,FALSE
400.164568888,C17H28O6N3P1,C17H28O6N3P,C17H28O6N3P1,C17H28O6N3P,FALSE,FALSE
388.152946456,C17H28O7N1P1,C17H28O7NP,C17H28O7N1P1,C17H28O7NP,FALSE,FALSE
416.159562298,C17H28O7N3P1,C17H28O7N3P,C17H28O7N3P1,C17H28O7N3P,FALSE,FALSE
404.148215078,C17H28O8N1P1,C17H28O8NP,C17H28O8N1P1,C17H28O8NP,FALSE,FALSE
468.091732234,C17H28O8N1P1S2,C17H28O8NS2P,C17H28O8N1P1S2,C17H28O8NS2P,FALSE,FALSE
432.15406262,C17H28O8N3P1,C17H28O8N3P,C17H28O8N3P1,C17H28O8N3P,FALSE,FALSE
479.155242622,C17H29O10N4P1,C17H29O10N4P,C17H29O10N4P1,C17H29O10N4P,FALSE,FALSE
423.14291942,C17H29O10P1,C17H29O10P,C17H29O10P1,C17H29O10P,FALSE,FALSE
455.114530931,C17H29O10P1S1,C17H29O10SP,C17H29O10P1S1,C17H29O10SP,FALSE,FALSE
499.115713381,C17H29O11N2P1S1,C17H29O11N2SP,C17H29O11N2P1S1,C17H29O11N2SP,FALSE,FALSE
495.150091874,C17H29O11N4P1,C17H29O11N4P,C17H29O11N4P1,C17H29O11N4P,FALSE,FALSE
439.137800281,C17H29O11P1,C17H29O11P,C17H29O11P1,C17H29O11P,FALSE,FALSE
471.109077633,C17H29O11P1S1,C17H29O11SP,C17H29O11P1S1,C17H29O11SP,FALSE,FALSE
503.081844735,C17H29O11P1S2,C17H29O11S2P,C17H29O11P1S2,C17H29O11S2P,FALSE,FALSE
483.138569179,C17H29O12N2P1,C17H29O12N2P,C17H29O12N2P1,C17H29O12N2P,FALSE,FALSE
515.110194526,C17H29O12N2P1S1,C17H29O12N2SP,C17H29O12N2P1S1,C17H29O12N2SP,FALSE,FALSE
511.144932572,C17H29O12N4P1,C17H29O12N4P,C17H29O12N4P1,C17H29O12N4P,FALSE,FALSE
455.132330259,C17H29O12P1,C17H29O12P,C17H29O12P1,C17H29O12P,FALSE,FALSE
519.07661728,C17H29O12P1S2,C17H29O12S2P,C17H29O12P1S2,C17H29O12S2P,FALSE,FALSE
499.13315691,C17H29O13N2P1,C17H29O13N2P,C17H29O13N2P1,C17H29O13N2P,FALSE,FALSE
531.10578639,C17H29O13N2P1S1,C17H29O13N2SP,C17H29O13N2P1S1,C17H29O13N2SP,FALSE,FALSE
527.1400237,C17H29O13N4P1,C17H29O13N4P,C17H29O13N4P1,C17H29O13N4P,FALSE,FALSE
471.126913819,C17H29O13P1,C17H29O13P,C17H29O13P1,C17H29O13P,FALSE,FALSE
535.071261874,C17H29O13P1S2,C17H29O13S2P,C17H29O13P1S2,C17H29O13S2P,FALSE,FALSE
515.128818806,C17H29O14N2P1,C17H29O14N2P,C17H29O14N2P1,C17H29O14N2P,FALSE,FALSE
547.10069973,C17H29O14N2P1S1,C17H29O14N2SP,C17H29O14N2P1S1,C17H29O14N2SP,FALSE,FALSE
487.121923466,C17H29O14P1,C17H29O14P,C17H29O14P1,C17H29O14P,FALSE,FALSE
563.095180712,C17H29O15N2P1S1,C17H29O15N2SP,C17H29O15N2P1S1,C17H29O15N2SP,FALSE,FALSE
559.129300507,C17H29O15N4P1,C17H29O15N4P,C17H29O15N4P1,C17H29O15N4P,FALSE,FALSE
503.117187621,C17H29O15P1,C17H29O15P,C17H29O15P1,C17H29O15P,FALSE,FALSE
519.112023969,C17H29O16P1,C17H29O16P,C17H29O16P1,C17H29O16P,FALSE,FALSE
355.17901105,C17H29O4N2P1,C17H29O4N2P,C17H29O4N2P1,C17H29O4N2P,FALSE,FALSE
383.185383815,C17H29O4N4P1,C17H29O4N4P,C17H29O4N4P1,C17H29O4N4P,FALSE,FALSE
327.173280808,C17H29O4P1,C17H29O4P,C17H29O4P1,C17H29O4P,FALSE,FALSE
359.144807149,C17H29O4P1S1,C17H29O4SP,C17H29O4P1S1,C17H29O4SP,FALSE,FALSE
391.116833511,C17H29O4P1S2,C17H29O4S2P,C17H29O4P1S2,C17H29O4S2P,FALSE,FALSE
371.173875438,C17H29O5N2P1,C17H29O5N2P,C17H29O5N2P1,C17H29O5N2P,FALSE,FALSE
399.180353612,C17H29O5N4P1,C17H29O5N4P,C17H29O5N4P1,C17H29O5N4P,FALSE,FALSE
343.168219013,C17H29O5P1,C17H29O5P,C17H29O5P1,C17H29O5P,FALSE,FALSE
375.139998862,C17H29O5P1S1,C17H29O5SP,C17H29O5P1S1,C17H29O5SP,FALSE,FALSE
407.111903377,C17H29O5P1S2,C17H29O5S2P,C17H29O5P1S2,C17H29O5S2P,FALSE,FALSE
387.168935706,C17H29O6N2P1,C17H29O6N2P,C17H29O6N2P1,C17H29O6N2P,FALSE,FALSE
419.14078242,C17H29O6N2P1S1,C17H29O6N2SP,C17H29O6N2P1S1,C17H29O6N2SP,FALSE,FALSE
415.17543648,C17H29O6N4P1,C17H29O6N4P,C17H29O6N4P1,C17H29O6N4P,FALSE,FALSE
359.163177218,C17H29O6P1,C17H29O6P,C17H29O6P1,C17H29O6P,FALSE,FALSE
391.134824122,C17H29O6P1S1,C17H29O6SP,C17H29O6P1S1,C17H29O6SP,FALSE,FALSE
403.164064942,C17H29O7N2P1,C17H29O7N2P,C17H29O7N2P1,C17H29O7N2P,FALSE,FALSE
435.136196315,C17H29O7N2P1S1,C17H29O7N2SP,C17H29O7N2P1S1,C17H29O7N2SP,FALSE,FALSE
431.170341697,C17H29O7N4P1,C17H29O7N4P,C17H29O7N4P1,C17H29O7N4P,FALSE,FALSE
375.158079424,C17H29O7P1,C17H29O7P,C17H29O7P1,C17H29O7P,FALSE,FALSE
407.129800383,C17H29O7P1S1,C17H29O7SP,C17H29O7P1S1,C17H29O7SP,FALSE,FALSE
439.102036038,C17H29O7P1S2,C17H29O7S2P,C17H29O7P1S2,C17H29O7S2P,FALSE,FALSE
451.13051258,C17H29O8N2P1S1,C17H29O8N2SP,C17H29O8N2P1S1,C17H29O8N2SP,FALSE,FALSE
447.165271771,C17H29O8N4P1,C17H29O8N4P,C17H29O8N4P1,C17H29O8N4P,FALSE,FALSE
391.152859629,C17H29O8P1,C17H29O8P,C17H29O8P1,C17H29O8P,FALSE,FALSE
423.124450085,C17H29O8P1S1,C17H29O8SP,C17H29O8P1S1,C17H29O8SP,FALSE,FALSE
467.125442313,C17H29O9N2P1S1,C17H29O9N2SP,C17H29O9N2P1S1,C17H29O9N2SP,FALSE,FALSE
463.160163479,C17H29O9N4P1,C17H29O9N4P,C17H29O9N4P1,C17H29O9N4P,FALSE,FALSE
407.148026834,C17H29O9P1,C17H29O9P,C17H29O9P1,C17H29O9P,FALSE,FALSE
439.119628353,C17H29O9P1S1,C17H29O9SP,C17H29O9P1S1,C17H29O9SP,FALSE,FALSE
454.148401608,C17H30O11N1P1,C17H30O11NP,C17H30O11N1P1,C17H30O11NP,FALSE,FALSE
482.154507251,C17H30O11N3P1,C17H30O11N3P,C17H30O11N3P1,C17H30O11N3P,FALSE,FALSE
470.143602054,C17H30O12N1P1,C17H30O12NP,C17H30O12N1P1,C17H30O12NP,FALSE,FALSE
518.128008207,C17H30O15N1P1,C17H30O15NP,C17H30O15N1P1,C17H30O15NP,FALSE,FALSE
546.134585129,C17H30O15N3P1,C17H30O15N3P,C17H30O15N3P1,C17H30O15N3P,FALSE,FALSE
534.122769371,C17H30O16N1P1,C17H30O16NP,C17H30O16N1P1,C17H30O16NP,FALSE,FALSE
374.156317699,C17H30O4N1P1S1,C17H30O4NSP,C17H30O4N1P1S1,C17H30O4NSP,FALSE,FALSE
386.184786489,C17H30O5N3P1,C17H30O5N3P,C17H30O5N3P1,C17H30O5N3P,FALSE,FALSE
374.173484728,C17H30O6N1P1,C17H30O6NP,C17H30O6N1P1,C17H30O6NP,FALSE,FALSE
402.180128757,C17H30O6N3P1,C17H30O6N3P,C17H30O6N3P1,C17H30O6N3P,FALSE,FALSE
390.168624262,C17H30O7N1P1,C17H30O7NP,C17H30O7N1P1,C17H30O7NP,FALSE,FALSE
454.112875061,C17H30O7N1P1S2,C17H30O7NS2P,C17H30O7N1P1S2,C17H30O7NS2P,FALSE,FALSE
418.174909343,C17H30O7N3P1,C17H30O7N3P,C17H30O7N3P1,C17H30O7N3P,FALSE,FALSE
406.163473306,C17H30O8N1P1,C17H30O8NP,C17H30O8N1P1,C17H30O8NP,FALSE,FALSE
434.169600544,C17H30O8N3P1,C17H30O8N3P,C17H30O8N3P1,C17H30O8N3P,FALSE,FALSE
422.158647273,C17H30O9N1P1,C17H30O9NP,C17H30O9N1P1,C17H30O9NP,FALSE,FALSE
450.164661746,C17H30O9N3P1,C17H30O9N3P,C17H30O9N3P1,C17H30O9N3P,FALSE,FALSE
485.136340831,C17H31O10N2P1S1,C17H31O10N2SP,C17H31O10N2P1S1,C17H31O10N2SP,FALSE,FALSE
481.170910935,C17H31O10N4P1,C17H31O10N4P,C17H31O10N4P1,C17H31O10N4P,FALSE,FALSE
425.158622916,C17H31O10P1,C17H31O10P,C17H31O10P1,C17H31O10P,FALSE,FALSE
457.129916302,C17H31O10P1S1,C17H31O10SP,C17H31O10P1S1,C17H31O10SP,FALSE,FALSE
501.130911172,C17H31O11N2P1S1,C17H31O11N2SP,C17H31O11N2P1S1,C17H31O11N2SP,FALSE,FALSE
497.165842604,C17H31O11N4P1,C17H31O11N4P,C17H31O11N4P1,C17H31O11N4P,FALSE,FALSE
441.153401619,C17H31O11P1,C17H31O11P,C17H31O11P1,C17H31O11P,FALSE,FALSE
473.12475583,C17H31O11P1S1,C17H31O11SP,C17H31O11P1S1,C17H31O11SP,FALSE,FALSE
505.097323838,C17H31O11P1S2,C17H31O11S2P,C17H31O11P1S2,C17H31O11S2P,FALSE,FALSE
485.154104159,C17H31O12N2P1,C17H31O12N2P,C17H31O12N2P1,C17H31O12N2P,FALSE,FALSE
517.126262964,C17H31O12N2P1S1,C17H31O12N2SP,C17H31O12N2P1S1,C17H31O12N2SP,FALSE,FALSE
513.160622136,C17H31O12N4P1,C17H31O12N4P,C17H31O12N4P1,C17H31O12N4P,FALSE,FALSE
457.147865421,C17H31O12P1,C17H31O12P,C17H31O12P1,C17H31O12P,FALSE,FALSE
521.092258768,C17H31O12P1S2,C17H31O12S2P,C17H31O12P1S2,C17H31O12S2P,FALSE,FALSE
501.148947661,C17H31O13N2P1,C17H31O13N2P,C17H31O13N2P1,C17H31O13N2P,FALSE,FALSE
533.121602449,C17H31O13N2P1S1,C17H31O13N2SP,C17H31O13N2P1S1,C17H31O13N2SP,FALSE,FALSE
529.155617452,C17H31O13N4P1,C17H31O13N4P,C17H31O13N4P1,C17H31O13N4P,FALSE,FALSE
473.143043007,C17H31O13P1,C17H31O13P,C17H31O13P1,C17H31O13P,FALSE,FALSE
517.144425557,C17H31O14N2P1,C17H31O14N2P,C17H31O14N2P1,C17H31O14N2P,FALSE,FALSE
549.115634786,C17H31O14N2P1S1,C17H31O14N2SP,C17H31O14N2P1S1,C17H31O14N2SP,FALSE,FALSE
489.137723407,C17H31O14P1,C17H31O14P,C17H31O14P1,C17H31O14P,FALSE,FALSE
553.081693776,C17H31O14P1S2,C17H31O14S2P,C17H31O14P1S2,C17H31O14S2P,FALSE,FALSE
533.138979523,C17H31O15N2P1,C17H31O15N2P,C17H31O15N2P1,C17H31O15N2P,FALSE,FALSE
505.132658808,C17H31O15P1,C17H31O15P,C17H31O15P1,C17H31O15P,FALSE,FALSE
549.133828487,C17H31O16N2P1,C17H31O16N2P,C17H31O16N2P1,C17H31O16N2P,FALSE,FALSE
521.127595021,C17H31O16P1,C17H31O16P,C17H31O16P1,C17H31O16P,FALSE,FALSE
553.099653389,C17H31O16P1S1,C17H31O16SP,C17H31O16P1S1,C17H31O16SP,FALSE,FALSE
357.194627534,C17H31O4N2P1,C17H31O4N2P,C17H31O4N2P1,C17H31O4N2P,FALSE,FALSE
385.201048853,C17H31O4N4P1,C17H31O4N4P,C17H31O4N4P1,C17H31O4N4P,FALSE,FALSE
329.18894233,C17H31O4P1,C17H31O4P,C17H31O4P1,C17H31O4P,FALSE,FALSE
361.160570264,C17H31O4P1S1,C17H31O4SP,C17H31O4P1S1,C17H31O4SP,FALSE,FALSE
393.132597779,C17H31O4P1S2,C17H31O4S2P,C17H31O4P1S2,C17H31O4S2P,FALSE,FALSE
373.189439834,C17H31O5N2P1,C17H31O5N2P,C17H31O5N2P1,C17H31O5N2P,FALSE,FALSE
405.161955396,C17H31O5N2P1S1,C17H31O5N2SP,C17H31O5N2P1S1,C17H31O5N2SP,FALSE,FALSE
401.196103038,C17H31O5N4P1,C17H31O5N4P,C17H31O5N4P1,C17H31O5N4P,FALSE,FALSE
345.183886535,C17H31O5P1,C17H31O5P,C17H31O5P1,C17H31O5P,FALSE,FALSE
377.155415525,C17H31O5P1S1,C17H31O5SP,C17H31O5P1S1,C17H31O5SP,FALSE,FALSE
409.12763704,C17H31O5P1S2,C17H31O5S2P,C17H31O5P1S2,C17H31O5S2P,FALSE,FALSE
389.184418042,C17H31O6N2P1,C17H31O6N2P,C17H31O6N2P1,C17H31O6N2P,FALSE,FALSE
421.156920487,C17H31O6N2P1S1,C17H31O6N2SP,C17H31O6N2P1S1,C17H31O6N2SP,FALSE,FALSE
417.19099934,C17H31O6N4P1,C17H31O6N4P,C17H31O6N4P1,C17H31O6N4P,FALSE,FALSE
361.17881174,C17H31O6P1,C17H31O6P,C17H31O6P1,C17H31O6P,FALSE,FALSE
393.150477785,C17H31O6P1S1,C17H31O6SP,C17H31O6P1S1,C17H31O6SP,FALSE,FALSE
425.1228293,C17H31O6P1S2,C17H31O6S2P,C17H31O6P1S2,C17H31O6S2P,FALSE,FALSE
437.151894066,C17H31O7N2P1S1,C17H31O7N2SP,C17H31O7N2P1S1,C17H31O7N2SP,FALSE,FALSE
433.185932884,C17H31O7N4P1,C17H31O7N4P,C17H31O7N4P1,C17H31O7N4P,FALSE,FALSE
377.173724946,C17H31O7P1,C17H31O7P,C17H31O7P1,C17H31O7P,FALSE,FALSE
409.145253045,C17H31O7P1S1,C17H31O7SP,C17H31O7P1S1,C17H31O7SP,FALSE,FALSE
421.174407095,C17H31O8N2P1,C17H31O8N2P,C17H31O8N2P1,C17H31O8N2P,FALSE,FALSE
453.146860045,C17H31O8N2P1S1,C17H31O8N2SP,C17H31O8N2P1S1,C17H31O8N2SP,FALSE,FALSE
449.180960933,C17H31O8N4P1,C17H31O8N4P,C17H31O8N4P1,C17H31O8N4P,FALSE,FALSE
393.168674151,C17H31O8P1,C17H31O8P,C17H31O8P1,C17H31O8P,FALSE,FALSE
425.140408306,C17H31O8P1S1,C17H31O8SP,C17H31O8P1S1,C17H31O8SP,FALSE,FALSE
437.169242073,C17H31O9N2P1,C17H31O9N2P,C17H31O9N2P1,C17H31O9N2P,FALSE,FALSE
469.141684937,C17H31O9N2P1S1,C17H31O9N2SP,C17H31O9N2P1S1,C17H31O9N2SP,FALSE,FALSE
465.175629332,C17H31O9N4P1,C17H31O9N4P,C17H31O9N4P1,C17H31O9N4P,FALSE,FALSE
409.163573491,C17H31O9P1,C17H31O9P,C17H31O9P1,C17H31O9P,FALSE,FALSE
441.134945648,C17H31O9P1S1,C17H31O9SP,C17H31O9P1S1,C17H31O9SP,FALSE,FALSE
456.164359265,C17H32O11N1P1,C17H32O11NP,C17H32O11N1P1,C17H32O11NP,FALSE,FALSE
472.158942348,C17H32O12N1P1,C17H32O12NP,C17H32O12N1P1,C17H32O12NP,FALSE,FALSE
500.164956772,C17H32O12N3P1,C17H32O12N3P,C17H32O12N3P1,C17H32O12N3P,FALSE,FALSE
488.15376103,C17H32O13N1P1,C17H32O13NP,C17H32O13N1P1,C17H32O13NP,FALSE,FALSE
516.160188963,C17H32O13N3P1,C17H32O13N3P,C17H32O13N3P1,C17H32O13N3P,FALSE,FALSE
504.148706159,C17H32O14N1P1,C17H32O14NP,C17H32O14N1P1,C17H32O14NP,FALSE,FALSE
520.143539507,C17H32O15N1P1,C17H32O15NP,C17H32O15N1P1,C17H32O15NP,FALSE,FALSE
536.138478435,C17H32O16N1P1,C17H32O16NP,C17H32O16N1P1,C17H32O16NP,FALSE,FALSE
344.199773465,C17H32O4N1P1,C17H32O4NP,C17H32O4N1P1,C17H32O4NP,FALSE,FALSE
376.171473363,C17H32O4N1P1S1,C17H32O4NSP,C17H32O4N1P1S1,C17H32O4NSP,FALSE,FALSE
360.194665974,C17H32O5N1P1,C17H32O5NP,C17H32O5N1P1,C17H32O5NP,FALSE,FALSE
376.189754749,C17H32O6N1P1,C17H32O6NP,C17H32O6N1P1,C17H32O6NP,FALSE,FALSE
404.19524269,C17H32O6N3P1,C17H32O6N3P,C17H32O6N3P1,C17H32O6N3P,FALSE,FALSE
392.184224958,C17H32O7N1P1,C17H32O7NP,C17H32O7N1P1,C17H32O7NP,FALSE,FALSE
424.156193982,C17H32O7N1P1S1,C17H32O7NSP,C17H32O7N1P1S1,C17H32O7NSP,FALSE,FALSE
420.190136266,C17H32O7N3P1,C17H32O7N3P,C17H32O7N3P1,C17H32O7N3P,FALSE,FALSE
408.179270689,C17H32O8N1P1,C17H32O8NP,C17H32O8N1P1,C17H32O8NP,FALSE,FALSE
472.123797242,C17H32O8N1P1S2,C17H32O8NS2P,C17H32O8N1P1S2,C17H32O8NS2P,FALSE,FALSE
436.185299468,C17H32O8N3P1,C17H32O8N3P,C17H32O8N3P1,C17H32O8N3P,FALSE,FALSE
424.174320656,C17H32O9N1P1,C17H32O9NP,C17H32O9N1P1,C17H32O9NP,FALSE,FALSE
452.18045367,C17H32O9N3P1,C17H32O9N3P,C17H32O9N3P1,C17H32O9N3P,FALSE,FALSE
455.180255642,C17H33O10N2P1,C17H33O10N2P,C17H33O10N2P1,C17H33O10N2P,FALSE,FALSE
483.18641636,C17H33O10N4P1,C17H33O10N4P,C17H33O10N4P1,C17H33O10N4P,FALSE,FALSE
427.174263346,C17H33O10P1,C17H33O10P,C17H33O10P1,C17H33O10P,FALSE,FALSE
459.145683782,C17H33O10P1S1,C17H33O10SP,C17H33O10P1S1,C17H33O10SP,FALSE,FALSE
491.117844552,C17H33O10P1S2,C17H33O10S2P,C17H33O10P1S2,C17H33O10S2P,FALSE,FALSE
471.175353931,C17H33O11N2P1,C17H33O11N2P,C17H33O11N2P1,C17H33O11N2P,FALSE,FALSE
503.146715719,C17H33O11N2P1S1,C17H33O11N2SP,C17H33O11N2P1S1,C17H33O11N2SP,FALSE,FALSE
499.181481616,C17H33O11N4P1,C17H33O11N4P,C17H33O11N4P1,C17H33O11N4P,FALSE,FALSE
443.169015085,C17H33O11P1,C17H33O11P,C17H33O11P1,C17H33O11P,FALSE,FALSE
