Calibrated m/z,HJW_Blk-1_p05,HJW_Blk-2_p05
469.207231255,990544.6,1057263.5
487.217718151,969636.6,1164295.4
439.232816007,1477401.1,1334261
455.227938352,1774401,1700797.8
471.222979469,2350644.8,1731059.4
489.233289957,908195.6,897937.4
425.253579326,939313.1,742570.2
441.248432142,1940504.4,1742122.4
457.243268958,2534824.8,2417749.5
473.238446558,1917740,1729543.6
427.269194461,1276663.9,1109536.6
443.264341566,2330146.8,1758826.5
459.259306333,2116128.5,1829627.5
475.254058364,1530933.6,1338411.6
415.982290112,904513.8,1368826.8
357.053587415,1643258.9,821793.2
469.047735909,1246742.8,1432755.1
363.099996582,890364.6,686785.8
489.13956059,8010489.5,6176615
505.134413946,8595630,5397823.5
457.149819876,1959819.6,1889846.3
473.14463252,7477512,7689442.5
443.170281085,1186058,794319.4
459.165479677,10241539,10080476
475.160193327,44903440,43034628
445.18584722,3976735.3,4076442.3
461.181063186,2731146.3,2280847.8
477.175923835,826924,894520.8
518.128942131,2036488.4,1403019
534.123860558,6714758,3867117
550.118699986,10338736,4660769
520.145056325,26165060,17927108
536.139378746,2795006.8,1771107.8
504.149935608,2140866.3,2138963.8
499.217728952,1178957.6,939739.4
467.227908882,1467020.4,946441.4
483.222812371,1485029.6,1163052.5
501.232734703,1035809.6,1350577.6
453.248561568,1126899.6,1227071.8
469.243532683,2241885.8,2171133.3
485.238437359,2600005,2069659
503.249022565,1166594.3,1055891.6
439.269416967,1417250.1,926719.1
455.264450127,2390860,2330057.8
471.258929714,3388994.3,2970113.5
487.254097555,2110388.8,2176023.5
441.285077774,1661473.8,1016116.6
457.280084928,1854387.9,2217569.5
489.269978147,1543219.9,1278370
458.987505253,1620938.3,785311.3
520.970184458,10076419,9594240
475.148759938,1749260.6,1721857.3
481.24338579,1013669.9,1042139.9
497.23847616,1255576.4,1188130.8
515.249094366,2168587.5,1518483
603.172907563,3417971,2292394.5
467.264090097,990105.3,862487
483.259170567,2035957.1,2147644.3
499.254168966,1882463.3,1891821.1
517.264793172,1261882.1,1234366.3
469.280118276,2001258.9,1508107
485.274824373,2241620.8,2619563
501.269740773,2188595.3,2112963.5
455.300407972,827351,996309.5
471.295593781,1584719.9,1736207.6
503.285360579,1283348.1,1232293.6
468.971803186,2117883.3,1137558.4
536.899626376,100557744,1401620.4
436.98176962,1881065.9,1180042
485.067261946,816123.4,2221136.3
578.103441238,1154282.8,1625647.3
517.122759545,998127,918643.4
533.117927965,4803405.5,5560245.5
472.13765159,4578187,2883415.3
423.151128488,3117404.5,3217574
580.165512226,2752626,1868755.1
527.248828114,1224567.1,1455336.1
511.254106767,1684703.3,1298796.8
519.185569682,1594687.8,1543616.3
529.263968654,1974488.9,1960774.4
481.280086466,1207989,1094379.5
497.274796174,1744809.8,1797684.1
513.269752574,2096377.8,2370948.5
483.295580582,1256964.5,1244236
499.290509981,1956720.8,1700862.8
515.28541038,2100510.5,2145190.3
485.311248388,1436772.5,1419963
501.305773789,1732933,1475541.5
517.300831186,1098317.5,1113809.6
480.971044128,5623093,5189992.5
548.971374709,6928136,2734966.8
493.084236896,2155515.5,1050746.1
547.264179949,3695385.8,2225028.8
511.290463782,1872114.1,1731455.6
497.311287353,1083323.1,880709.4
513.306206588,1847564.9,1824663.6
499.326846995,1147778.4,866960.3
515.321987995,1446193.9,1454521.5
540.975303333,5950672,5035316
576.966462811,19014630,16855324
562.987171571,344137824,161225984
578.981745537,11704644,2747028.3
545.201004015,2093666.1,1790665.9
531.239575964,1471275.1,1513109.8
525.306038389,1282629,1859769.5
527.321384732,1616543.4,1621776.3
529.337382002,1037057.5,1344878.9
564.967763151,4207926,2250226.3
444.958044031,1832418.3,3789655.3
522.964581032,1168448.4,1442745.5
521.987028405,32957228,31104934
565.987334179,14137278,6739074.5
536.980378603,1781725.5,1706562.1
476.966346618,1782488.8,1112803
526.966706616,2031579.1,1097036.6
397.157638054,881791.7,801409.2
591.076642444,1517805,2104072.3
482.159630087,1712421.1,1460067.1
683.162609411,3458836,1908110.4
494.2531472,1231386,895900.4
539.321796997,981784.9,1530236.9
673.26268057,5413794.5,7608256.5
440.945463006,932554.8,2455252.5
442.960933237,4409299.5,11582739
540.982677335,17423572,14985528
485.19604592,1175603.1,818568.5
503.206991241,1133293.4,890494.7
479.184377164,5188182,2314360.3
545.002398972,4421102.5,2975317.8
635.007830083,3255326.5,2815838.3
473.220970267,791333.5,1596672.9
526.973963344,19795424,9632337
530.940219541,3605123.3,1573614.1
540.989789605,160951520,137488704
637.024738138,1374754.5,1692061.1
754.970711392,33863416,2674588.3
804.971042878,53470072,8734441
703.185474964,4025952,3375043
511.118022601,1622168.9,1516070.6
497.138280809,1865577,1886707.1
513.133598637,2566322.8,1772861.6
499.154129946,5684527,5055933
515.149484748,2126038.8,2509150.8
558.118382989,2667656.3,1835801
528.143997139,2377832.8,1188312.1
544.139053461,2509815.3,1054813.8
509.232146962,1082060.8,899164.4
701.189133259,10191606,9523426
671.262619599,5915034.5,9340399
634.951521988,10891237,4512548
660.057587715,33532838,70938760
816.041618507,3656766.3,10375113
815.058122268,50350292,174627968
815.073981474,341936352,917478528
598.948336187,4187734.8,6617377
694.917900334,6967166,4628251
693.181320688,2184650.5,3020253.5
535.247790331,1602051.6,1389161.4
867.25828549,2697914.5,2345914.3
754.885105843,2955904.3,3708699.3
537.204804003,9180254,1326786.6
549.264141308,6268853,3555364.3
619.30799465,1508193.3,1559703.5
754.975069097,81295104,7484322
579.030749791,1277285.4,3262134.8
663.037113926,1527712.6,2970232.8
661.134151804,2313387.3,1718669.4
540.140517074,1753327.3,1827667.5
675.196051191,1533299.1,10180947
854.234879507,2499181,4776977.5
653.349676589,2949405.5,3966436.3
661.04035064,11702331,25425180
638.031162166,1741868.6,1948612.3
564.975800324,12625211,6009335.5
661.029597902,3431469.5,7185679.5
663.044789856,3764650.5,8142466
735.216901847,4528198,2946196
697.375236803,3427665,5209157.5
819.06408116,10004094,24717668
661.177462805,6129887,2223552.8
855.233029101,2788354.3,3064045.5
817.067776198,70029248,174105376
601.106049039,3007740,2224637
741.401248018,3155873.5,3658869
788.967439574,6901831,2492517.8
807.237972834,2615353,24641528
587.05097376,1371501.8,1080636.9
661.051424372,91189320,187331888
818.067076634,14963495,39822924
974.086174784,7317174,20704152
863.235135379,5171894.5,4149797
788.972007138,15917131,5703275.5
804.966545771,23241588,3696356.3
859.024461239,20518278,5128130
976.088314013,2251116.3,7910893.5
971.090237201,53632680,159740912
975.083494472,3687442.8,11024583
794.419004452,2650161.3,5650597
796.417466357,2759858.8,4475362
817.055164997,24113082,80814872
792.422434666,2694029,4161331.5
971.047765646,3557058.5,10765329
971.096005004,117137056,389772256
163.01653844,792058.6,2481219
303.00248719,3246203.3,5800446
