File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,Join_By_Field,File_Path
HJW_Blk-*.corems.cal,"CoreMS mass calibration file for blank samples. This data is processed from the .xml files. The  asterisk * indicates the blank number followed by  the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). Each sample had three replicates. FTICR methods information can be found in the file ending in ""FTICR_Methods.csv"" and the file ending in ""Methods_Codes.csv"". See the FTICR_Instructions folder and readme for more details.",N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/Blank_CoreMS_Output_Files
HJW_Blk-*.corems.csv,"CoreMS mass calibration file for blank samples. This data is processed from the .xml files. The  asterisk * indicates the blank number followed by  the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). Each sample had three replicates. FTICR methods information can be found in the file ending in ""FTICR_Methods.csv"" and the file ending in ""Methods_Codes.csv"". See the FTICR_Instructions folder and readme for more details.",ESS-DIVE CSV v1,1,1,Calibrated_Mass,/v2_WHONDRS_HJW_Sample_Data/FTICR/Blank_CoreMS_Output_Files
HJW_Blk-*.corems.json,"CoreMS mass calibration file for blank samples. This data is processed from the .xml files. The  asterisk * indicates the blank number followed by  the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). Each sample had three replicates. FTICR methods information can be found  in the file ending in ""FTICR_Methods.csv"" and the file ending in ""Methods_Codes.csv"". See the FTICR_Instructions folder and readme for more details.",N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/Blank_CoreMS_Output_Files
HJW_Blk-*.xml,"Pre-processed FTICR-MS instrument files for blank samples. This data is processed from the .xml files. The  asterisk * indicates the sample name, followed by  the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2). FTICR methods information can be found in the files ending in ""FTICR_Methods.csv"" and the ""Methods_Codes.csv"". See the FTICR_Instructions folder and readme for more details.",N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/Blanks_XML_Files
CoreMS_MergeProcess.Rmd,"R markdown that combines CoreMS outputs (.corems.csv files) contained in a specified directory. Additionally, this markdown will run ftmsRanalysis to calculate additional molecular information and Song et al lambda calculation. See ""Instructions_for_Processing_FTICR_Data_using_CoreMS.pdf"" for more details.",N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/FTICR_Instructions
CoreMS_Runner.py,"Python script used to run the CoreMS workflow and generates CoreMS outputs.  See ""Instructions_for_Processing_FTICR_Data_using_CoreMS.pdf"" for more details.",N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/FTICR_Instructions
Format_CoreMS_Outputs.R,R script that formats files from CoreMS outputs into ESS-DIVE CSV reporting format compliant files. This script is provided for traceability.,N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/FTICR_Instructions
Instructions_for_Processing_FTICR_Data_using_CoreMS.pdf,Instructions for processing FTICR-MS data using the RC-SFA CoreMS pipeline.,N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/FTICR_Instructions
getLambda.R,R script for the lambda calculation from Song et al 2020 (https://doi.org/10.3389/fmicb.2020.531756). Modified from https://github.com/hyunseobsong/lambda.,N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/FTICR_Instructions
HJW_*.corems.cal,"CoreMS mass calibration file for sediment samples. This data is processed from the .xml files. The  asterisk * indicates the sample name, followed by  the ion accumulation time (IAT). The ""p"" in the IAT indicates the decimal point (i.e. p01 indicates an IAT of 0.1 and 1p2 indicates an IAT of 1.2).  FTICR methods information can be found in the file ending in ""FTICR_Methods.csv"" and the file ending in ""Methods_Codes.csv"". See the FTICR_Instructions folder and readme for more details.",N/A,-9999,-9999,N/A,/v2_WHONDRS_HJW_Sample_Data/FTICR/Sediment_CoreMS_Output_Files
