#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Locality_Description,Country,State_or_Province,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
HJW_22_Water,10.58052/IEWDR02AE,10.58052/IEWDR0292,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.265833,-122.170833,stream,N/A,178,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_23_Water,10.58052/IEWDR02AF,10.58052/IEWDR0293,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.20626,-122.25458,stream,N/A,WS1-5,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-08-01,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_24_Water,10.58052/IEWDR02AG,10.58052/IEWDR0294,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2341,-122.1473,stream,N/A,53,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_25_Water,10.58052/IEWDR02AH,10.58052/IEWDR0295,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2066,-122.2568,stream,N/A,WS1-3,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-31,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_26_Water,10.58052/IEWDR02AI,10.58052/IEWDR0296,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.218383,-122.240864,stream,N/A,WS3-3,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_27_Water,10.58052/IEWDR02AJ,10.58052/IEWDR0297,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.21787,-122.240308,stream,N/A,WS3-4,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_28_Water,10.58052/IEWDR02AK,10.58052/IEWDR0298,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.217858,-122.240407,stream,N/A,WS3-5,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-28,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_29_Water,10.58052/IEWDR02AL,10.58052/IEWDR0299,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.230556,-122.125278,stream,N/A,65,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_30_Water,10.58052/IEWDR02AM,10.58052/IEWDR029A,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2339,-122.1522,stream,N/A,43,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_31_Water,10.58052/IEWDR02AN,10.58052/IEWDR029B,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2225,-122.115278,stream,N/A,170,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_32_Water,10.58052/IEWDR02AO,10.58052/IEWDR029C,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.2522,-122.1879,stream,N/A,165,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-29,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
HJW_33_Water,10.58052/IEWDR02AP,10.58052/IEWDR029D,Liquid>aqueous,Surface water,grab,Surface water was pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials.,2025 HJ Andrews River Corridor Critical Zone Workshop,44.221599,-122.222979,stream,N/A,KC-1,In stream site,United States,Oregon,"US Department of Energy River Corridor Science Focus Area, Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS)",Adam Ward; Vanessa Garayburu-Caruso, 2025-07-30,https://whondrs.pnnl.gov; https://andrewsforest.oregonstate.edu,regular URL
