Calibrated_Mass,C,H,O,N,S,P,Is_Isotopologue,Heteroatom_Class,Calculated_Mass,Error_ppm,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
255.062444269,10,12,6,2,0,0,0,N2 O6,255.062259661,0.723777959,C10H12O6N2,0,0.2,6,0,-2,43.2,254.777639265,0.222360735,0.6,0.6,1.2,0.2,0,-9999,Lignin,Lignin,Protein,43.2,-124.606142092,0.12331573,0.111755883,432,-1246.061420919
287.034503033,10,12,6,2,1,0,0,N2 S1 O6,287.034330835,0.599921237,C10H12O6N2S,0,0,6,0,-3,37.5,286.713997743,0.286002257,0.8,0.6,1.2,0.2,0,-9999,Lignin,Lignin,Protein,37.5,-126.310757756,0.128690679,0.112967014,375,-1263.107577564
283.068391933,10,12,6,4,0,0,0,N4 O6,283.06840767,-0.055592691,C10H12O6N4,0,0,7,1,-3,26.1,282.752315238,0.247684762,1.2,0.6,1.2,0.4,0,-9999,Lignin,Lignin,Protein,26.1,-109.743067408,0.140794973,0.129741699,261,-1097.430674078
243.051143464,10,12,7,0,0,0,0,O7,243.051026271,0.482171183,C10H12O7,0,0.230769231,5,-2,-2,54.6,242.779750386,0.220249614,0.2,0.7,1.2,0,0,-9999,Tannin,Tannin,Other,54.6,-137.178448105,0.117093486,0.100964862,546,-1371.784481051
303.029220557,10,12,7,2,1,0,0,N2 S1 O7,303.029245455,-0.082163301,C10H12O7N2S,0,0,6,-1,-4,31.8,302.690855422,0.309144578,1,0.7,1.2,0.2,0,-9999,Tannin,Tannin,Other,31.8,-124.019989085,0.134503539,0.116577627,318,-1240.199890854
306.995217967,10,12,7,0,2,0,0,S2 O7,306.99516862,0.160742772,C10H12O7S2,0,0,5,-2,-4,43.2,306.652424365,0.347575635,0.6,0.7,1.2,0,0,-9999,Tannin,Tannin,Other,43.2,-140.587679434,0.12331573,0.102845611,432,-1405.87679434
259.045823611,10,12,8,0,0,0,0,O8,259.045940891,-0.452739726,C10H12O8,0,0.166666667,5,-3,-3,48.9,258.75657073,0.24342927,0.4,0.8,1.2,0,0,-9999,Tannin,Tannin,Other,48.9,-134.887679434,0.118339131,0.104031913,489,-1348.87679434
335.994605594,10,12,8,1,1,1,0,N1 S1 P1 O8,335.994848068,-0.721660724,C10H12O8NSP,0,0,6,-2,-5,48.9,335.619431016,0.380568984,0.4,0.8,1.2,0.1,0.1,1,Tannin,Tannin,Phytochemical,48.9,-142.878448105,0.118339131,0.100031612,489,-1428.784481051
291.018087772,10,12,8,0,1,0,0,S1 O8,291.018012065,0.260144949,C10H12O8S,0,0,5,-3,-4,43.2,290.693134376,0.306865624,0.6,0.8,1.2,0,0,-9999,Tannin,Tannin,Other,43.2,-136.592295099,0.12331573,0.105009305,432,-1365.922950985
194.082255852,10,13,3,1,0,0,0,N1 O3,194.08226683,-0.056562676,C10H13O3N,0.166666667,0.333333333,5,2,1,71.7,193.865541871,0.134458129,-0.4,0.3,1.3,0.1,0,-9999,Lignin,Lignin,Other,71.7,-140.055369783,0.097177236,0.089455086,717,-1400.553697827
255.053915942,10,13,4,2,0,1,0,N2 P1 O4,255.054017452,-0.397994372,C10H13O4N2P,0,0.2,6,2,-1,71.7,254.769120461,0.230879539,-0.4,0.4,1.3,0.2,0.1,2,Lignin,Lignin,Protein,71.7,-144.050754118,0.097177236,0.08796575,717,-1440.507541182
226.072296206,10,13,5,1,0,0,0,N1 O5,226.072096069,0.885279981,C10H13O5N,0,0.230769231,5,0,-1,60.3,225.81986186,0.18013814,0,0.5,1.3,0.1,0,-9999,Lignin,Lignin,Other,60.3,-135.473832441,0.115696287,0.100063795,603,-1354.738324406
